idx,label,x,y,timestamp
0,pigtail,56,204,121015709
1,pigtail,57,206,121015798
2,pigtail,58,208,121015824
3,pigtail,60,209,121015845
4,pigtail,62,209,121015860
5,pigtail,65,210,121015878
6,pigtail,67,209,121015890
7,pigtail,70,210,121015902
8,pigtail,72,210,121015914
9,pigtail,75,209,121015926
10,pigtail,78,210,121015938
11,pigtail,80,209,121015946
12,pigtail,82,209,121015955
13,pigtail,84,208,121015962
14,pigtail,86,208,121015970
15,pigtail,89,207,121015978
16,pigtail,91,207,121015986
17,pigtail,94,207,121015995
18,pigtail,96,206,121016003
19,pigtail,99,205,121016012
20,pigtail,101,205,121016021
21,pigtail,104,203,121016031
22,pigtail,106,202,121016040
23,pigtail,109,201,121016050
24,pigtail,111,201,121016060
25,pigtail,114,199,121016070
26,pigtail,116,198,121016081
27,pigtail,118,197,121016091
28,pigtail,121,196,121016102
29,pigtail,124,194,121016113
30,pigtail,126,193,121016124
31,pigtail,128,191,121016135
32,pigtail,131,188,121016147
33,pigtail,133,186,121016159
34,pigtail,134,184,121016171
35,pigtail,136,183,121016183
36,pigtail,138,181,121016196
37,pigtail,140,179,121016210
38,pigtail,141,176,121016223
39,pigtail,143,174,121016238
40,pigtail,144,172,121016251
41,pigtail,146,170,121016271
42,pigtail,147,167,121016285
43,pigtail,148,165,121016299
44,pigtail,149,163,121016313
45,pigtail,150,161,121016327
46,pigtail,151,159,121016341
47,pigtail,151,157,121016358
48,pigtail,151,154,121016382
49,pigtail,150,152,121016398
50,pigtail,149,150,121016418
51,pigtail,148,148,121016442
52,pigtail,146,147,121016471
53,pigtail,144,146,121016504
54,pigtail,142,144,121016533
55,pigtail,140,144,121016549
56,pigtail,138,145,121016566
57,pigtail,136,144,121016582
58,pigtail,134,145,121016600
59,pigtail,132,145,121016617
60,pigtail,130,146,121016634
61,pigtail,128,148,121016652
62,pigtail,126,148,121016670
63,pigtail,124,148,121016688
64,pigtail,122,150,121016706
65,pigtail,120,152,121016725
66,pigtail,118,154,121016746
67,pigtail,116,157,121016765
68,pigtail,115,159,121016784
69,pigtail,114,161,121016804
70,pigtail,113,163,121016823
71,pigtail,113,165,121016843
72,pigtail,112,168,121016863
73,pigtail,112,173,121016884
74,pigtail,112,177,121016904
75,pigtail,113,180,121016925
76,pigtail,114,182,121016945
77,pigtail,114,184,121016966
78,pigtail,116,189,121016988
79,pigtail,118,191,121017009
80,pigtail,120,195,121017031
81,pigtail,122,197,121017054
82,pigtail,124,199,121017076
83,pigtail,125,201,121017099
84,pigtail,127,202,121017122
85,pigtail,129,204,121017144
86,pigtail,131,206,121017167
87,pigtail,133,206,121017191
88,pigtail,135,206,121017214
89,pigtail,137,207,121017238
90,pigtail,138,209,121017262
91,pigtail,140,208,121017286
92,pigtail,142,209,121017321
93,pigtail,144,210,121017349
94,pigtail,146,211,121017377
95,pigtail,148,210,121017409
96,pigtail,150,210,121017434
97,pigtail,152,209,121017460
98,pigtail,154,210,121017485
99,pigtail,156,209,121017520
100,pigtail,158,208,121017546
101,pigtail,160,209,121017572
102,pigtail,162,208,121017604
103,pigtail,165,208,121017640
104,pigtail,167,207,121017672
105,pigtail,169,206,121017725
106,pigtail,171,206,121017781
107,pigtail,172,204,121017808
