idx,label,x,y,timestamp
0,pigtail,66,236,118932266
1,pigtail,68,238,118932309
2,pigtail,69,236,118932350
3,pigtail,71,235,118932419
4,pigtail,73,236,118932451
5,pigtail,75,236,118932487
6,pigtail,77,235,118932515
7,pigtail,79,235,118932543
8,pigtail,81,233,118932563
9,pigtail,83,233,118932583
10,pigtail,86,233,118932611
11,pigtail,88,232,118932635
12,pigtail,90,232,118932663
13,pigtail,92,231,118932688
14,pigtail,95,229,118932708
15,pigtail,97,229,118932728
16,pigtail,99,228,118932746
17,pigtail,101,227,118932762
18,pigtail,103,226,118932778
19,pigtail,105,225,118932797
20,pigtail,107,224,118932821
21,pigtail,109,223,118932846
22,pigtail,111,222,118932870
23,pigtail,113,220,118932886
24,pigtail,115,220,118932910
25,pigtail,117,219,118932926
26,pigtail,119,218,118932951
27,pigtail,122,216,118932971
28,pigtail,124,216,118932987
29,pigtail,124,214,118932998
30,pigtail,126,214,118933015
31,pigtail,128,213,118933035
32,pigtail,131,211,118933055
33,pigtail,133,210,118933072
34,pigtail,135,208,118933088
35,pigtail,137,208,118933109
36,pigtail,138,206,118933121
37,pigtail,140,206,118933141
38,pigtail,142,204,118933154
39,pigtail,144,202,118933170
40,pigtail,146,200,118933186
41,pigtail,148,199,118933199
42,pigtail,151,197,118933218
43,pigtail,153,195,118933234
44,pigtail,155,193,118933251
45,pigtail,156,191,118933265
46,pigtail,157,188,118933279
47,pigtail,159,187,118933299
48,pigtail,160,185,118933315
49,pigtail,162,183,118933338
50,pigtail,163,180,118933354
51,pigtail,164,178,118933370
52,pigtail,165,176,118933394
53,pigtail,166,173,118933410
54,pigtail,167,171,118933425
55,pigtail,168,169,118933450
56,pigtail,168,166,118933471
57,pigtail,169,164,118933507
58,pigtail,169,162,118933531
59,pigtail,167,160,118933568
60,pigtail,165,159,118933612
61,pigtail,163,160,118933636
62,pigtail,161,159,118933665
63,pigtail,159,161,118933685
64,pigtail,157,162,118933709
65,pigtail,155,162,118933728
66,pigtail,153,164,118933749
67,pigtail,151,165,118933770
68,pigtail,149,166,118933790
69,pigtail,147,168,118933811
70,pigtail,145,168,118933812
71,pigtail,144,170,118933832
72,pigtail,140,173,118933852
73,pigtail,138,175,118933872
74,pigtail,136,177,118933892
75,pigtail,133,180,118933912
76,pigtail,131,184,118933933
77,pigtail,129,185,118933954
78,pigtail,126,189,118933975
79,pigtail,125,191,118933996
80,pigtail,124,194,118933997
81,pigtail,122,196,118934022
82,pigtail,121,200,118934045
83,pigtail,118,205,118934068
84,pigtail,117,208,118934090
85,pigtail,117,210,118934112
86,pigtail,115,215,118934137
87,pigtail,113,219,118934161
88,pigtail,112,222,118934184
89,pigtail,112,225,118934185
90,pigtail,112,227,118934209
91,pigtail,111,230,118934235
92,pigtail,110,234,118934260
93,pigtail,112,236,118934293
94,pigtail,113,238,118934317
95,pigtail,114,240,118934342
96,pigtail,116,240,118934369
97,pigtail,118,242,118934394
98,pigtail,120,242,118934419
99,pigtail,122,243,118934445
100,pigtail,124,243,118934470
101,pigtail,129,243,118934496
102,pigtail,131,243,118934522
103,pigtail,135,243,118934548
104,pigtail,137,243,118934550
105,pigtail,142,241,118934578
106,pigtail,146,241,118934606
107,pigtail,154,240,118934634
108,pigtail,159,239,118934661
109,pigtail,164,238,118934689
110,pigtail,166,238,118934690
111,pigtail,171,235,118934718
112,pigtail,179,232,118934746
113,pigtail,188,227,118934778
114,pigtail,194,224,118934808
115,pigtail,200,222,118934837
116,pigtail,202,221,118934838
117,pigtail,207,218,118934867
118,pigtail,213,214,118934898
