idx,label,x,y,timestamp
0,pigtail,78,232,268044476
1,pigtail,80,234,268044496
2,pigtail,82,233,268044508
3,pigtail,85,233,268044517
4,pigtail,87,233,268044524
5,pigtail,90,232,268044532
6,pigtail,92,232,268044541
7,pigtail,95,230,268044549
8,pigtail,98,229,268044557
9,pigtail,101,228,268044565
10,pigtail,103,227,268044572
11,pigtail,106,225,268044579
12,pigtail,110,223,268044586
13,pigtail,114,221,268044594
14,pigtail,118,219,268044602
15,pigtail,122,217,268044610
16,pigtail,126,214,268044618
17,pigtail,130,211,268044626
18,pigtail,134,208,268044635
19,pigtail,138,205,268044644
20,pigtail,142,201,268044653
21,pigtail,147,196,268044662
22,pigtail,150,191,268044672
23,pigtail,154,184,268044682
24,pigtail,156,178,268044692
25,pigtail,159,170,268044702
26,pigtail,160,167,268044712
27,pigtail,161,163,268044713
28,pigtail,161,158,268044724
29,pigtail,162,153,268044735
30,pigtail,162,150,268044746
31,pigtail,160,148,268044757
32,pigtail,158,147,268044768
33,pigtail,156,146,268044780
34,pigtail,154,144,268044792
35,pigtail,149,144,268044804
36,pigtail,143,145,268044818
37,pigtail,140,146,268044831
38,pigtail,134,148,268044844
39,pigtail,128,150,268044858
40,pigtail,125,153,268044872
41,pigtail,120,157,268044886
42,pigtail,117,164,268044901
43,pigtail,116,166,268044902
44,pigtail,114,170,268044917
45,pigtail,114,173,268044918
46,pigtail,114,179,268044933
47,pigtail,114,181,268044934
48,pigtail,116,189,268044949
49,pigtail,118,195,268044967
50,pigtail,122,203,268044984
51,pigtail,125,208,268045000
52,pigtail,131,217,268045016
53,pigtail,137,223,268045033
54,pigtail,143,225,268045050
55,pigtail,150,226,268045068
56,pigtail,159,227,268045085
57,pigtail,165,226,268045102
58,pigtail,170,223,268045120
59,pigtail,176,219,268045139
60,pigtail,184,212,268045157
61,pigtail,190,205,268045176
62,pigtail,196,199,268045195
63,pigtail,200,193,268045213
64,pigtail,203,192,268045232
65,pigtail,206,188,268045251
