idx,label,x,y,timestamp
0,pigtail,82,232,10227226
1,pigtail,84,232,10227234
2,pigtail,87,232,10227242
3,pigtail,89,232,10227250
4,pigtail,92,232,10227258
5,pigtail,95,233,10227267
6,pigtail,98,233,10227275
7,pigtail,101,232,10227283
8,pigtail,104,231,10227291
9,pigtail,106,231,10227299
10,pigtail,109,230,10227307
11,pigtail,112,228,10227315
12,pigtail,115,226,10227323
13,pigtail,119,224,10227332
14,pigtail,121,223,10227340
15,pigtail,124,221,10227349
16,pigtail,128,219,10227358
17,pigtail,131,216,10227366
18,pigtail,134,214,10227375
19,pigtail,137,212,10227383
20,pigtail,140,209,10227392
21,pigtail,141,207,10227401
22,pigtail,143,204,10227402
23,pigtail,146,200,10227412
24,pigtail,148,197,10227422
25,pigtail,150,194,10227432
26,pigtail,153,187,10227443
27,pigtail,155,184,10227453
28,pigtail,155,181,10227455
29,pigtail,156,178,10227465
30,pigtail,156,175,10227476
31,pigtail,156,170,10227488
32,pigtail,156,165,10227499
33,pigtail,155,161,10227511
34,pigtail,153,156,10227523
35,pigtail,152,154,10227535
36,pigtail,149,149,10227547
37,pigtail,147,148,10227560
38,pigtail,141,146,10227573
39,pigtail,138,143,10227586
40,pigtail,135,142,10227587
41,pigtail,132,142,10227601
42,pigtail,126,142,10227614
43,pigtail,120,143,10227628
44,pigtail,115,147,10227643
45,pigtail,113,149,10227657
46,pigtail,108,154,10227671
47,pigtail,105,161,10227686
48,pigtail,104,166,10227702
49,pigtail,104,175,10227717
50,pigtail,105,183,10227733
51,pigtail,107,192,10227749
52,pigtail,110,201,10227765
53,pigtail,115,206,10227782
54,pigtail,121,211,10227799
55,pigtail,127,217,10227815
56,pigtail,134,223,10227833
57,pigtail,144,232,10227850
58,pigtail,151,237,10227867
59,pigtail,158,242,10227885
60,pigtail,165,246,10227903
61,pigtail,171,249,10227921
62,pigtail,178,251,10227939
63,pigtail,183,252,10227958
64,pigtail,187,251,10227978
65,pigtail,192,248,10227997
66,pigtail,196,246,10228015
67,pigtail,198,244,10228035
68,pigtail,198,242,10228060
