idx,label,x,y,timestamp
0,pigtail,54,201,202413629
1,pigtail,56,202,202413642
2,pigtail,59,201,202413651
3,pigtail,63,199,202413658
4,pigtail,65,198,202413663
5,pigtail,69,199,202413670
6,pigtail,71,199,202413676
7,pigtail,73,198,202413682
8,pigtail,76,196,202413683
9,pigtail,78,196,202413689
10,pigtail,80,196,202413691
11,pigtail,83,195,202413697
12,pigtail,86,194,202413698
13,pigtail,91,192,202413706
14,pigtail,97,190,202413714
15,pigtail,103,188,202413722
16,pigtail,110,185,202413731
17,pigtail,116,182,202413739
18,pigtail,122,178,202413748
19,pigtail,128,175,202413757
20,pigtail,130,174,202413758
21,pigtail,135,171,202413768
22,pigtail,139,168,202413778
23,pigtail,143,164,202413788
24,pigtail,146,161,202413798
25,pigtail,149,159,202413799
26,pigtail,151,157,202413809
27,pigtail,153,154,202413819
28,pigtail,155,152,202413829
29,pigtail,156,150,202413840
30,pigtail,156,147,202413851
31,pigtail,154,145,202413862
32,pigtail,153,142,202413874
33,pigtail,151,141,202413875
34,pigtail,148,141,202413886
35,pigtail,141,141,202413898
36,pigtail,138,143,202413910
37,pigtail,131,146,202413923
38,pigtail,128,147,202413935
39,pigtail,122,150,202413948
40,pigtail,119,152,202413961
41,pigtail,114,158,202413974
42,pigtail,110,165,202413987
43,pigtail,109,170,202414001
44,pigtail,108,174,202414002
45,pigtail,107,179,202414017
46,pigtail,107,186,202414031
47,pigtail,108,189,202414046
48,pigtail,109,192,202414047
49,pigtail,110,194,202414062
50,pigtail,111,197,202414063
51,pigtail,116,201,202414078
52,pigtail,119,202,202414094
53,pigtail,122,203,202414095
54,pigtail,131,205,202414112
55,pigtail,140,205,202414129
56,pigtail,142,205,202414130
57,pigtail,149,204,202414148
58,pigtail,155,204,202414165
59,pigtail,160,202,202414185
