idx,label,x,y,timestamp
0,pigtail,30,196,202426773
1,pigtail,32,197,202426781
2,pigtail,35,197,202426789
3,pigtail,37,198,202426794
4,pigtail,40,198,202426800
5,pigtail,45,198,202426806
6,pigtail,48,197,202426812
7,pigtail,55,196,202426818
8,pigtail,58,195,202426825
9,pigtail,62,194,202426826
10,pigtail,66,193,202426832
11,pigtail,70,192,202426833
12,pigtail,74,191,202426841
13,pigtail,79,190,202426842
14,pigtail,87,187,202426850
15,pigtail,96,184,202426858
16,pigtail,104,180,202426866
17,pigtail,112,177,202426875
18,pigtail,119,173,202426884
19,pigtail,125,169,202426893
20,pigtail,128,167,202426894
21,pigtail,133,163,202426903
22,pigtail,140,156,202426913
23,pigtail,142,153,202426923
24,pigtail,148,145,202426933
25,pigtail,149,142,202426944
26,pigtail,150,139,202426954
27,pigtail,151,136,202426964
28,pigtail,150,134,202426974
29,pigtail,147,133,202426985
30,pigtail,144,132,202427000
31,pigtail,140,133,202427002
32,pigtail,134,134,202427013
33,pigtail,130,134,202427025
34,pigtail,128,135,202427026
35,pigtail,122,138,202427038
36,pigtail,114,143,202427050
37,pigtail,107,148,202427063
38,pigtail,100,155,202427076
39,pigtail,93,166,202427089
40,pigtail,89,173,202427102
41,pigtail,88,177,202427116
42,pigtail,88,185,202427129
43,pigtail,89,187,202427130
44,pigtail,90,191,202427144
45,pigtail,95,197,202427158
46,pigtail,102,200,202427172
47,pigtail,104,201,202427173
48,pigtail,112,204,202427189
49,pigtail,114,205,202427190
50,pigtail,125,205,202427206
51,pigtail,136,204,202427222
52,pigtail,144,204,202427239
53,pigtail,150,202,202427256
54,pigtail,151,200,202427277
55,pigtail,149,201,202427342
