idx,label,x,y,timestamp
0,pigtail,75,225,1077325
1,pigtail,77,227,1077356
2,pigtail,79,226,1077365
3,pigtail,81,225,1077372
4,pigtail,84,224,1077381
5,pigtail,87,224,1077389
6,pigtail,90,223,1077397
7,pigtail,94,222,1077405
8,pigtail,97,221,1077413
9,pigtail,100,220,1077421
10,pigtail,103,218,1077429
11,pigtail,107,215,1077437
12,pigtail,110,213,1077445
13,pigtail,113,211,1077454
14,pigtail,116,207,1077462
15,pigtail,120,203,1077470
16,pigtail,123,200,1077479
17,pigtail,127,195,1077487
18,pigtail,130,192,1077496
19,pigtail,133,189,1077505
20,pigtail,137,183,1077514
21,pigtail,139,179,1077523
22,pigtail,140,177,1077533
23,pigtail,142,175,1077534
24,pigtail,144,168,1077547
25,pigtail,145,164,1077557
26,pigtail,145,162,1077560
27,pigtail,146,155,1077573
28,pigtail,145,150,1077584
29,pigtail,144,144,1077595
30,pigtail,143,142,1077607
31,pigtail,142,139,1077618
32,pigtail,139,135,1077630
33,pigtail,137,132,1077651
34,pigtail,134,130,1077676
35,pigtail,132,131,1077693
36,pigtail,129,130,1077705
37,pigtail,126,131,1077718
38,pigtail,124,132,1077731
39,pigtail,120,137,1077744
40,pigtail,117,143,1077758
41,pigtail,114,149,1077772
42,pigtail,112,154,1077786
43,pigtail,111,158,1077801
44,pigtail,111,161,1077802
45,pigtail,110,168,1077818
46,pigtail,111,174,1077833
47,pigtail,112,182,1077848
48,pigtail,113,185,1077850
49,pigtail,115,192,1077867
50,pigtail,117,198,1077883
51,pigtail,121,204,1077899
52,pigtail,125,210,1077916
53,pigtail,131,214,1077932
54,pigtail,135,215,1077933
55,pigtail,144,218,1077953
56,pigtail,153,220,1077971
57,pigtail,163,220,1077989
58,pigtail,170,220,1078007
59,pigtail,176,219,1078025
60,pigtail,180,218,1078044
61,pigtail,182,218,1078061
62,pigtail,185,217,1078080
