idx,label,x,y,timestamp
0,pigtail,71,224,1066054
1,pigtail,71,226,1066075
2,pigtail,72,230,1066083
3,pigtail,75,231,1066096
4,pigtail,78,232,1066103
5,pigtail,81,232,1066112
6,pigtail,85,232,1066120
7,pigtail,87,232,1066127
8,pigtail,92,230,1066133
9,pigtail,97,228,1066141
10,pigtail,99,227,1066148
11,pigtail,102,225,1066149
12,pigtail,107,222,1066158
13,pigtail,113,218,1066166
14,pigtail,119,213,1066175
15,pigtail,125,209,1066183
16,pigtail,131,203,1066191
17,pigtail,134,200,1066193
18,pigtail,139,193,1066203
19,pigtail,145,185,1066212
20,pigtail,149,178,1066222
21,pigtail,151,172,1066231
22,pigtail,151,170,1066232
23,pigtail,151,161,1066244
24,pigtail,150,156,1066255
25,pigtail,148,152,1066265
26,pigtail,145,150,1066275
27,pigtail,141,148,1066276
28,pigtail,135,149,1066289
29,pigtail,129,152,1066300
30,pigtail,125,155,1066312
31,pigtail,123,157,1066313
32,pigtail,116,171,1066328
33,pigtail,113,183,1066341
34,pigtail,113,197,1066353
35,pigtail,115,210,1066366
36,pigtail,119,222,1066379
37,pigtail,129,233,1066393
38,pigtail,138,238,1066406
39,pigtail,154,239,1066420
40,pigtail,165,237,1066434
41,pigtail,176,232,1066449
42,pigtail,182,226,1066463
43,pigtail,183,224,1066464
44,pigtail,185,220,1066481
