idx,label,x,y,timestamp
0,pigtail,60,225,117193094
1,pigtail,62,225,117193118
2,pigtail,64,225,117193134
3,pigtail,66,224,117193147
4,pigtail,68,224,117193155
5,pigtail,71,224,117193168
6,pigtail,74,223,117193180
7,pigtail,76,222,117193188
8,pigtail,78,222,117193196
9,pigtail,80,221,117193208
10,pigtail,82,220,117193216
11,pigtail,84,220,117193224
12,pigtail,87,219,117193232
13,pigtail,89,218,117193241
14,pigtail,91,217,117193248
15,pigtail,93,216,117193256
16,pigtail,95,215,117193264
17,pigtail,97,214,117193273
18,pigtail,100,212,117193283
19,pigtail,102,211,117193292
20,pigtail,104,211,117193301
21,pigtail,106,209,117193310
22,pigtail,108,209,117193319
23,pigtail,110,207,117193329
24,pigtail,112,206,117193339
25,pigtail,115,203,117193348
26,pigtail,117,203,117193359
27,pigtail,120,201,117193371
28,pigtail,122,199,117193383
29,pigtail,125,197,117193395
30,pigtail,127,195,117193407
31,pigtail,129,194,117193419
32,pigtail,130,192,117193431
33,pigtail,133,190,117193443
34,pigtail,134,188,117193455
35,pigtail,136,186,117193467
36,pigtail,137,184,117193479
37,pigtail,138,182,117193492
38,pigtail,140,180,117193504
39,pigtail,142,178,117193523
40,pigtail,143,175,117193539
41,pigtail,144,173,117193552
42,pigtail,145,171,117193568
43,pigtail,146,168,117193582
44,pigtail,147,166,117193596
45,pigtail,148,164,117193610
46,pigtail,148,162,117193625
47,pigtail,149,160,117193639
48,pigtail,149,157,117193654
49,pigtail,150,155,117193669
50,pigtail,150,153,117193684
51,pigtail,151,151,117193700
52,pigtail,151,149,117193715
53,pigtail,150,147,117193732
54,pigtail,149,144,117193761
55,pigtail,148,142,117193806
56,pigtail,147,139,117193831
57,pigtail,145,139,117193866
58,pigtail,145,137,117193883
59,pigtail,143,136,117193906
60,pigtail,141,135,117193930
61,pigtail,139,135,117193951
62,pigtail,137,135,117193970
63,pigtail,135,135,117193995
64,pigtail,133,136,117194015
65,pigtail,131,138,117194036
66,pigtail,128,139,117194059
67,pigtail,126,141,117194087
68,pigtail,124,143,117194107
69,pigtail,123,145,117194126
70,pigtail,121,147,117194146
71,pigtail,119,149,117194165
72,pigtail,118,151,117194185
73,pigtail,117,153,117194205
74,pigtail,116,155,117194225
75,pigtail,115,157,117194246
76,pigtail,114,162,117194270
77,pigtail,114,164,117194293
78,pigtail,114,166,117194315
79,pigtail,114,168,117194336
80,pigtail,114,171,117194357
81,pigtail,114,173,117194379
82,pigtail,113,175,117194401
83,pigtail,114,177,117194423
84,pigtail,114,180,117194445
85,pigtail,115,182,117194468
86,pigtail,115,185,117194490
87,pigtail,116,187,117194513
88,pigtail,116,189,117194536
89,pigtail,117,191,117194559
90,pigtail,118,194,117194583
91,pigtail,119,196,117194606
92,pigtail,122,200,117194633
93,pigtail,124,201,117194657
94,pigtail,125,203,117194681
95,pigtail,127,205,117194706
96,pigtail,131,208,117194731
97,pigtail,133,208,117194756
98,pigtail,137,210,117194782
99,pigtail,139,211,117194807
100,pigtail,143,212,117194834
101,pigtail,147,213,117194860
102,pigtail,151,213,117194886
103,pigtail,156,213,117194913
104,pigtail,160,213,117194940
105,pigtail,162,212,117194966
106,pigtail,167,212,117194993
107,pigtail,169,211,117195020
108,pigtail,173,211,117195048
109,pigtail,178,209,117195076
110,pigtail,180,208,117195103
111,pigtail,184,206,117195132
112,pigtail,186,205,117195160
113,pigtail,191,202,117195188
114,pigtail,193,199,117195216
115,pigtail,196,196,117195245
