idx,label,x,y,timestamp
0,pigtail,21,261,123477727
1,pigtail,23,261,123477743
2,pigtail,26,262,123477759
3,pigtail,28,261,123477766
4,pigtail,30,262,123477774
5,pigtail,32,262,123477782
6,pigtail,35,261,123477790
7,pigtail,38,261,123477798
8,pigtail,41,261,123477806
9,pigtail,45,260,123477814
10,pigtail,47,259,123477821
11,pigtail,50,257,123477828
12,pigtail,54,256,123477835
13,pigtail,58,255,123477843
14,pigtail,63,253,123477851
15,pigtail,68,252,123477859
16,pigtail,72,251,123477867
17,pigtail,76,249,123477876
18,pigtail,81,246,123477884
19,pigtail,85,244,123477893
20,pigtail,88,242,123477895
21,pigtail,92,240,123477904
22,pigtail,97,237,123477913
23,pigtail,99,236,123477914
24,pigtail,104,234,123477925
25,pigtail,110,229,123477935
26,pigtail,115,226,123477946
27,pigtail,121,221,123477956
28,pigtail,124,218,123477967
29,pigtail,132,212,123477978
30,pigtail,135,209,123477989
31,pigtail,138,205,123478001
32,pigtail,144,199,123478012
33,pigtail,148,193,123478025
34,pigtail,150,191,123478037
35,pigtail,154,185,123478049
36,pigtail,157,179,123478062
37,pigtail,159,176,123478075
38,pigtail,160,172,123478088
39,pigtail,162,167,123478101
40,pigtail,162,163,123478115
41,pigtail,162,158,123478130
42,pigtail,162,155,123478144
43,pigtail,160,152,123478159
44,pigtail,159,148,123478173
45,pigtail,158,146,123478187
46,pigtail,155,143,123478202
47,pigtail,151,142,123478219
48,pigtail,146,141,123478235
49,pigtail,141,140,123478250
50,pigtail,136,140,123478265
51,pigtail,130,142,123478281
52,pigtail,124,143,123478297
53,pigtail,118,148,123478313
54,pigtail,112,152,123478331
55,pigtail,107,156,123478347
56,pigtail,102,162,123478364
57,pigtail,96,171,123478381
58,pigtail,92,181,123478399
59,pigtail,90,189,123478416
60,pigtail,89,199,123478434
61,pigtail,89,205,123478452
62,pigtail,90,212,123478470
63,pigtail,91,218,123478489
64,pigtail,94,224,123478507
65,pigtail,99,231,123478526
66,pigtail,103,237,123478545
67,pigtail,108,241,123478565
68,pigtail,116,245,123478585
69,pigtail,123,249,123478605
70,pigtail,132,252,123478626
71,pigtail,139,254,123478646
72,pigtail,143,255,123478647
73,pigtail,153,257,123478669
74,pigtail,166,256,123478690
75,pigtail,175,256,123478711
76,pigtail,181,254,123478733
77,pigtail,189,251,123478755
78,pigtail,193,249,123478777
