idx,label,x,y,timestamp
0,pigtail,61,211,121024683
1,pigtail,60,214,121024759
2,pigtail,63,214,121024792
3,pigtail,65,216,121024812
4,pigtail,67,216,121024824
5,pigtail,69,216,121024833
6,pigtail,72,216,121024845
7,pigtail,74,215,121024853
8,pigtail,76,216,121024861
9,pigtail,79,215,121024869
10,pigtail,81,215,121024877
11,pigtail,84,214,121024885
12,pigtail,87,214,121024893
13,pigtail,90,213,121024902
14,pigtail,93,212,121024909
15,pigtail,95,211,121024918
16,pigtail,98,210,121024926
17,pigtail,101,208,121024934
18,pigtail,104,208,121024943
19,pigtail,108,206,121024952
20,pigtail,110,204,121024961
21,pigtail,113,202,121024970
22,pigtail,116,201,121024980
23,pigtail,121,199,121024990
24,pigtail,123,197,121025000
25,pigtail,126,195,121025010
26,pigtail,127,192,121025021
27,pigtail,129,190,121025031
28,pigtail,133,185,121025042
29,pigtail,135,183,121025053
30,pigtail,137,180,121025064
31,pigtail,140,175,121025075
32,pigtail,141,172,121025087
33,pigtail,144,167,121025099
34,pigtail,145,163,121025111
35,pigtail,145,160,121025123
36,pigtail,146,154,121025136
37,pigtail,147,152,121025148
38,pigtail,147,149,121025162
39,pigtail,147,146,121025175
40,pigtail,146,144,121025190
41,pigtail,144,143,121025222
42,pigtail,142,142,121025237
43,pigtail,140,142,121025253
44,pigtail,137,143,121025269
45,pigtail,135,144,121025289
46,pigtail,130,146,121025309
47,pigtail,125,152,121025330
48,pigtail,121,156,121025348
49,pigtail,116,163,121025366
50,pigtail,115,166,121025384
51,pigtail,113,174,121025402
52,pigtail,112,178,121025421
53,pigtail,113,184,121025438
54,pigtail,113,189,121025454
55,pigtail,114,193,121025471
56,pigtail,115,195,121025487
57,pigtail,116,198,121025504
58,pigtail,118,199,121025505
59,pigtail,120,202,121025525
60,pigtail,123,204,121025543
61,pigtail,128,208,121025562
62,pigtail,131,209,121025580
63,pigtail,135,210,121025598
64,pigtail,138,212,121025617
65,pigtail,140,211,121025636
66,pigtail,145,212,121025655
67,pigtail,150,211,121025678
68,pigtail,152,210,121025697
69,pigtail,157,208,121025716
70,pigtail,159,209,121025736
71,pigtail,161,208,121025756
72,pigtail,164,207,121025757
73,pigtail,166,204,121025780
74,pigtail,170,202,121025800
75,pigtail,172,202,121025821
76,pigtail,173,200,121025842
77,pigtail,177,195,121025863
