idx,label,x,y,timestamp
0,pigtail,57,220,268052068
1,pigtail,59,220,268052085
2,pigtail,61,220,268052097
3,pigtail,64,220,268052109
4,pigtail,66,219,268052117
5,pigtail,68,219,268052124
6,pigtail,71,219,268052133
7,pigtail,74,219,268052141
8,pigtail,76,219,268052147
9,pigtail,81,217,268052154
10,pigtail,85,216,268052162
11,pigtail,87,216,268052169
12,pigtail,90,215,268052170
13,pigtail,95,214,268052179
14,pigtail,100,211,268052187
15,pigtail,105,209,268052195
16,pigtail,110,206,268052204
17,pigtail,116,203,268052212
18,pigtail,118,201,268052213
19,pigtail,123,197,268052224
20,pigtail,130,193,268052233
21,pigtail,134,189,268052243
22,pigtail,136,187,268052252
23,pigtail,143,178,268052262
24,pigtail,145,174,268052271
25,pigtail,147,166,268052282
26,pigtail,149,160,268052292
27,pigtail,150,152,268052303
28,pigtail,149,145,268052314
29,pigtail,149,140,268052325
30,pigtail,148,136,268052336
31,pigtail,147,133,268052348
32,pigtail,142,130,268052359
33,pigtail,140,128,268052371
34,pigtail,135,130,268052383
35,pigtail,132,130,268052395
36,pigtail,125,131,268052407
37,pigtail,122,132,268052420
38,pigtail,116,135,268052432
39,pigtail,112,140,268052446
40,pigtail,110,143,268052459
41,pigtail,107,148,268052473
42,pigtail,106,151,268052474
43,pigtail,105,158,268052490
44,pigtail,104,166,268052504
45,pigtail,105,169,268052505
46,pigtail,105,175,268052520
47,pigtail,106,177,268052521
48,pigtail,109,186,268052539
49,pigtail,112,194,268052555
50,pigtail,116,201,268052571
51,pigtail,119,206,268052586
52,pigtail,123,212,268052602
53,pigtail,128,218,268052619
54,pigtail,136,220,268052636
55,pigtail,143,221,268052653
56,pigtail,150,220,268052670
57,pigtail,157,217,268052688
58,pigtail,167,209,268052706
59,pigtail,173,204,268052724
60,pigtail,181,199,268052746
61,pigtail,185,194,268052764
62,pigtail,189,188,268052782
63,pigtail,195,181,268052801
64,pigtail,197,178,268052820
65,pigtail,198,176,268052838
66,pigtail,199,173,268052858
67,pigtail,199,171,268052877
68,pigtail,199,173,268052897
