idx,label,x,y,timestamp
0,question_mark,93,160,124666718
1,question_mark,93,158,124666868
2,question_mark,94,156,124666908
3,question_mark,95,154,124666953
4,question_mark,95,152,124666977
5,question_mark,96,150,124666992
6,question_mark,96,148,124667008
7,question_mark,97,146,124667016
8,question_mark,99,144,124667032
9,question_mark,101,141,124667045
10,question_mark,103,140,124667057
11,question_mark,105,138,124667073
12,question_mark,108,136,124667089
13,question_mark,110,135,124667101
14,question_mark,113,136,124667114
15,question_mark,115,136,124667122
16,question_mark,118,135,124667130
17,question_mark,121,136,124667138
18,question_mark,123,137,124667147
19,question_mark,126,137,124667156
20,question_mark,129,138,124667165
21,question_mark,132,137,124667174
22,question_mark,134,138,124667184
23,question_mark,137,139,124667193
24,question_mark,139,141,124667194
25,question_mark,142,141,124667205
26,question_mark,144,142,124667215
27,question_mark,148,147,124667229
28,question_mark,150,149,124667240
29,question_mark,151,151,124667251
30,question_mark,151,154,124667262
31,question_mark,151,158,124667273
32,question_mark,151,160,124667285
33,question_mark,150,163,124667286
34,question_mark,150,165,124667299
35,question_mark,148,171,124667311
36,question_mark,146,176,124667324
37,question_mark,145,179,124667336
38,question_mark,143,184,124667350
39,question_mark,140,189,124667363
40,question_mark,139,191,124667377
41,question_mark,135,196,124667391
42,question_mark,133,199,124667405
43,question_mark,132,201,124667419
44,question_mark,130,203,124667435
45,question_mark,129,205,124667455
46,question_mark,127,206,124667471
47,question_mark,125,208,124667486
48,question_mark,123,210,124667501
49,question_mark,121,211,124667518
50,question_mark,119,213,124667540
51,question_mark,117,215,124667557
52,question_mark,115,217,124667583
53,question_mark,114,220,124667599
54,question_mark,113,222,124667616
55,question_mark,112,225,124667632
56,question_mark,112,227,124667649
57,question_mark,111,232,124667665
58,question_mark,112,236,124667682
59,question_mark,113,242,124667700
60,question_mark,115,248,124667718
61,question_mark,118,253,124667736
62,question_mark,120,255,124667754
63,question_mark,122,256,124667772
