idx,label,x,y,timestamp
0,question_mark,64,186,118419815
1,question_mark,65,184,118419827
2,question_mark,67,182,118419835
3,question_mark,68,178,118419844
4,question_mark,70,175,118419851
5,question_mark,72,172,118419859
6,question_mark,74,169,118419867
7,question_mark,75,167,118419873
8,question_mark,78,162,118419880
9,question_mark,80,159,118419888
10,question_mark,82,156,118419895
11,question_mark,83,154,118419903
12,question_mark,86,151,118419911
13,question_mark,87,149,118419920
14,question_mark,90,147,118419932
15,question_mark,92,145,118419941
16,question_mark,95,143,118419949
17,question_mark,97,142,118419957
18,question_mark,99,141,118419966
19,question_mark,101,141,118419975
20,question_mark,104,142,118419984
21,question_mark,106,142,118419993
22,question_mark,108,143,118420002
23,question_mark,113,148,118420012
24,question_mark,116,150,118420024
25,question_mark,117,152,118420034
26,question_mark,118,156,118420045
27,question_mark,119,158,118420056
28,question_mark,119,160,118420057
29,question_mark,119,163,118420068
30,question_mark,119,165,118420080
31,question_mark,118,168,118420081
32,question_mark,117,170,118420093
33,question_mark,114,176,118420105
34,question_mark,111,178,118420116
35,question_mark,109,180,118420129
36,question_mark,107,182,118420141
37,question_mark,102,185,118420154
38,question_mark,100,186,118420167
39,question_mark,95,188,118420180
40,question_mark,90,191,118420193
41,question_mark,87,193,118420207
42,question_mark,85,194,118420221
43,question_mark,84,196,118420235
44,question_mark,83,198,118420249
45,question_mark,83,200,118420264
46,question_mark,84,203,118420280
47,question_mark,84,205,118420295
48,question_mark,83,210,118420310
49,question_mark,82,213,118420325
50,question_mark,82,217,118420340
