idx,label,x,y,timestamp
0,question_mark,111,152,10746981
1,question_mark,113,150,10747062
2,question_mark,115,149,10747079
3,question_mark,117,147,10747087
4,question_mark,120,146,10747099
5,question_mark,123,144,10747107
6,question_mark,125,143,10747115
7,question_mark,127,142,10747123
8,question_mark,130,141,10747131
9,question_mark,132,140,10747139
10,question_mark,135,139,10747147
11,question_mark,137,139,10747156
12,question_mark,139,138,10747164
13,question_mark,141,138,10747175
14,question_mark,144,137,10747188
15,question_mark,146,137,10747200
16,question_mark,148,137,10747212
17,question_mark,150,138,10747232
18,question_mark,152,140,10747249
19,question_mark,154,143,10747265
20,question_mark,155,145,10747277
21,question_mark,156,148,10747289
22,question_mark,156,150,10747300
23,question_mark,156,152,10747310
24,question_mark,157,154,10747321
25,question_mark,158,158,10747333
26,question_mark,159,160,10747345
27,question_mark,159,163,10747357
28,question_mark,159,165,10747368
29,question_mark,160,167,10747379
30,question_mark,160,174,10747390
31,question_mark,160,176,10747403
32,question_mark,160,179,10747415
33,question_mark,160,184,10747427
34,question_mark,160,187,10747440
35,question_mark,159,191,10747452
36,question_mark,158,193,10747466
37,question_mark,158,196,10747480
38,question_mark,156,198,10747494
39,question_mark,154,200,10747509
40,question_mark,152,202,10747523
41,question_mark,149,203,10747537
42,question_mark,147,204,10747551
43,question_mark,142,209,10747565
44,question_mark,140,210,10747582
45,question_mark,139,212,10747598
46,question_mark,138,214,10747612
47,question_mark,136,215,10747628
48,question_mark,134,217,10747644
49,question_mark,132,219,10747662
50,question_mark,131,221,10747680
51,question_mark,130,224,10747698
52,question_mark,129,226,10747714
53,question_mark,127,231,10747731
54,question_mark,126,233,10747750
55,question_mark,126,236,10747768
56,question_mark,126,240,10747786
57,question_mark,127,242,10747805
58,question_mark,128,244,10747824
59,question_mark,128,247,10747841
60,question_mark,130,249,10747860
61,question_mark,130,251,10747881
