idx,label,x,y,timestamp
0,question_mark,92,179,117750687
1,question_mark,91,177,117750723
2,question_mark,91,175,117750752
3,question_mark,90,173,117750789
4,question_mark,90,171,117750805
5,question_mark,90,169,117750817
6,question_mark,90,167,117750837
7,question_mark,90,165,117750849
8,question_mark,90,162,117750873
9,question_mark,90,160,117750889
10,question_mark,91,158,117750901
11,question_mark,92,156,117750913
12,question_mark,93,153,117750941
13,question_mark,94,150,117750957
14,question_mark,95,148,117750974
15,question_mark,97,146,117750999
16,question_mark,99,144,117751016
17,question_mark,100,142,117751032
18,question_mark,102,141,117751052
19,question_mark,104,139,117751068
20,question_mark,105,137,117751080
21,question_mark,107,137,117751101
22,question_mark,110,136,117751121
23,question_mark,112,135,117751138
24,question_mark,114,134,117751154
25,question_mark,117,133,117751170
26,question_mark,119,132,117751190
27,question_mark,121,132,117751210
28,question_mark,123,131,117751230
29,question_mark,125,130,117751246
30,question_mark,127,131,117751266
31,question_mark,129,131,117751282
32,question_mark,131,131,117751299
33,question_mark,133,131,117751320
34,question_mark,135,131,117751340
35,question_mark,137,132,117751361
36,question_mark,140,133,117751386
37,question_mark,141,135,117751405
38,question_mark,143,136,117751426
39,question_mark,145,136,117751442
40,question_mark,148,137,117751463
41,question_mark,150,139,117751487
42,question_mark,152,141,117751510
43,question_mark,153,143,117751534
44,question_mark,154,146,117751550
45,question_mark,156,148,117751574
46,question_mark,156,150,117751590
47,question_mark,157,152,117751610
48,question_mark,158,155,117751634
49,question_mark,158,157,117751650
50,question_mark,159,159,117751674
51,question_mark,159,162,117751694
52,question_mark,159,164,117751722
53,question_mark,159,166,117751743
54,question_mark,158,168,117751764
55,question_mark,158,170,117751789
56,question_mark,157,172,117751817
57,question_mark,156,174,117751834
58,question_mark,155,176,117751854
59,question_mark,154,178,117751874
60,question_mark,153,180,117751902
61,question_mark,152,183,117751935
62,question_mark,150,185,117751962
63,question_mark,148,187,117751995
64,question_mark,146,189,117752023
65,question_mark,144,191,117752048
66,question_mark,142,192,117752080
67,question_mark,141,194,117752104
68,question_mark,139,196,117752129
69,question_mark,136,197,117752153
70,question_mark,134,200,117752182
71,question_mark,132,200,117752215
72,question_mark,131,202,117752239
73,question_mark,129,204,117752278
74,question_mark,128,206,117752299
75,question_mark,127,208,117752340
76,question_mark,126,210,117752361
77,question_mark,126,212,117752381
78,question_mark,125,215,117752401
79,question_mark,125,218,117752437
80,question_mark,125,220,117752465
81,question_mark,124,222,117752493
82,question_mark,124,225,117752534
83,question_mark,125,227,117752574
84,question_mark,125,229,117752602
85,question_mark,125,231,117752634
86,question_mark,126,233,117752657
87,question_mark,126,236,117752694
88,question_mark,126,238,117752731
89,question_mark,127,240,117752851
90,question_mark,127,238,117752879
