idx,label,x,y,timestamp
0,question_mark,129,153,10762062
1,question_mark,131,152,10762111
2,question_mark,133,151,10762150
3,question_mark,135,149,10762266
4,question_mark,137,148,10762291
5,question_mark,139,147,10762310
6,question_mark,141,147,10762326
7,question_mark,143,147,10762338
8,question_mark,145,146,10762354
9,question_mark,147,146,10762366
10,question_mark,150,145,10762378
11,question_mark,152,145,10762395
12,question_mark,154,146,10762407
13,question_mark,157,146,10762419
14,question_mark,159,148,10762431
15,question_mark,161,147,10762442
16,question_mark,163,149,10762454
17,question_mark,165,149,10762470
18,question_mark,167,151,10762487
19,question_mark,169,153,10762499
20,question_mark,171,156,10762515
21,question_mark,172,158,10762527
22,question_mark,174,161,10762543
23,question_mark,176,163,10762559
24,question_mark,176,165,10762570
25,question_mark,177,167,10762581
26,question_mark,177,169,10762593
27,question_mark,178,172,10762605
28,question_mark,178,175,10762616
29,question_mark,178,177,10762629
30,question_mark,178,180,10762641
31,question_mark,177,183,10762654
32,question_mark,177,185,10762666
33,question_mark,176,187,10762678
34,question_mark,175,192,10762690
35,question_mark,173,194,10762704
36,question_mark,172,196,10762717
37,question_mark,170,198,10762731
38,question_mark,168,201,10762745
39,question_mark,164,205,10762759
40,question_mark,161,206,10762773
41,question_mark,157,211,10762788
42,question_mark,155,212,10762803
43,question_mark,152,214,10762818
44,question_mark,150,217,10762832
45,question_mark,148,219,10762848
46,question_mark,146,221,10762864
47,question_mark,143,222,10762880
48,question_mark,142,224,10762896
49,question_mark,140,226,10762913
50,question_mark,138,229,10762931
51,question_mark,137,231,10762948
52,question_mark,136,234,10762966
53,question_mark,135,238,10762983
54,question_mark,134,240,10763003
55,question_mark,134,242,10763021
56,question_mark,134,244,10763040
57,question_mark,135,248,10763058
58,question_mark,135,250,10763059
59,question_mark,136,253,10763076
60,question_mark,138,259,10763094
61,question_mark,139,261,10763095
62,question_mark,139,266,10763116
63,question_mark,140,268,10763134
64,question_mark,140,270,10763152
65,question_mark,140,272,10763171
