idx,label,x,y,timestamp
0,rectangle,66,167,267952374
1,rectangle,65,169,267952412
2,rectangle,65,173,267952420
3,rectangle,66,176,267952426
4,rectangle,66,178,267952432
5,rectangle,66,182,267952433
6,rectangle,67,185,267952439
7,rectangle,67,188,267952440
8,rectangle,67,191,267952447
9,rectangle,68,194,267952448
10,rectangle,68,199,267952456
11,rectangle,68,203,267952457
12,rectangle,69,209,267952465
13,rectangle,70,217,267952473
14,rectangle,70,224,267952481
15,rectangle,71,231,267952489
16,rectangle,72,236,267952498
17,rectangle,72,240,267952507
18,rectangle,73,243,267952516
19,rectangle,74,245,267952525
20,rectangle,75,247,267952534
21,rectangle,78,247,267952544
22,rectangle,81,246,267952554
23,rectangle,84,246,267952563
24,rectangle,87,245,267952564
25,rectangle,92,243,267952575
26,rectangle,99,238,267952586
27,rectangle,107,235,267952597
28,rectangle,117,231,267952609
29,rectangle,124,228,267952620
30,rectangle,127,227,267952621
31,rectangle,136,224,267952633
32,rectangle,144,221,267952646
33,rectangle,150,217,267952659
34,rectangle,153,216,267952671
35,rectangle,158,214,267952684
36,rectangle,158,212,267952696
37,rectangle,158,205,267952709
38,rectangle,156,199,267952723
39,rectangle,152,186,267952737
40,rectangle,150,175,267952750
41,rectangle,147,166,267952764
42,rectangle,143,159,267952778
43,rectangle,140,152,267952793
44,rectangle,136,147,267952807
45,rectangle,133,145,267952823
46,rectangle,127,144,267952838
47,rectangle,121,146,267952853
48,rectangle,112,151,267952868
49,rectangle,105,156,267952883
50,rectangle,102,158,267952884
51,rectangle,93,166,267952903
52,rectangle,92,168,267952904
53,rectangle,87,171,267952926
