idx,label,x,y,timestamp
0,rectangle,52,151,117346053
1,rectangle,53,154,117346122
2,rectangle,52,157,117346134
3,rectangle,52,160,117346142
4,rectangle,52,163,117346150
5,rectangle,52,167,117346159
6,rectangle,52,169,117346165
7,rectangle,51,174,117346171
8,rectangle,51,176,117346178
9,rectangle,51,181,117346184
10,rectangle,51,186,117346192
11,rectangle,52,188,117346198
12,rectangle,52,192,117346200
13,rectangle,52,197,117346207
14,rectangle,52,199,117346215
15,rectangle,53,203,117346216
16,rectangle,54,207,117346224
17,rectangle,55,212,117346232
18,rectangle,56,217,117346241
19,rectangle,56,221,117346250
20,rectangle,58,226,117346259
21,rectangle,59,231,117346268
22,rectangle,59,234,117346277
23,rectangle,60,236,117346287
24,rectangle,60,238,117346297
25,rectangle,61,240,117346307
26,rectangle,61,243,117346317
27,rectangle,61,245,117346327
28,rectangle,62,247,117346346
29,rectangle,62,249,117346357
30,rectangle,63,251,117346400
31,rectangle,65,252,117346429
32,rectangle,68,252,117346441
33,rectangle,71,252,117346453
34,rectangle,74,250,117346465
35,rectangle,77,249,117346466
36,rectangle,84,249,117346479
37,rectangle,92,248,117346492
38,rectangle,103,247,117346505
39,rectangle,113,247,117346518
40,rectangle,122,247,117346532
41,rectangle,136,246,117346549
42,rectangle,139,245,117346550
43,rectangle,147,246,117346564
44,rectangle,157,246,117346578
45,rectangle,166,246,117346593
46,rectangle,172,247,117346608
47,rectangle,179,247,117346623
48,rectangle,185,249,117346638
49,rectangle,191,249,117346653
50,rectangle,193,249,117346668
51,rectangle,195,248,117346669
52,rectangle,197,248,117346685
53,rectangle,199,248,117346700
54,rectangle,198,246,117346757
55,rectangle,197,243,117346773
56,rectangle,195,238,117346790
57,rectangle,192,231,117346806
58,rectangle,190,222,117346824
59,rectangle,188,209,117346842
60,rectangle,187,197,117346860
61,rectangle,187,183,117346878
62,rectangle,187,172,117346896
63,rectangle,187,170,117346897
64,rectangle,187,162,117346916
65,rectangle,187,153,117346934
66,rectangle,186,149,117346953
67,rectangle,185,147,117346972
68,rectangle,183,145,117346991
69,rectangle,181,144,117347010
70,rectangle,179,144,117347030
71,rectangle,171,146,117347049
72,rectangle,162,148,117347070
73,rectangle,149,150,117347090
74,rectangle,136,150,117347111
75,rectangle,122,150,117347133
76,rectangle,120,151,117347134
77,rectangle,105,151,117347156
78,rectangle,90,153,117347180
79,rectangle,88,152,117347181
80,rectangle,81,152,117347203
81,rectangle,77,152,117347224
82,rectangle,74,151,117347225
83,rectangle,72,150,117347247
84,rectangle,67,149,117347270
85,rectangle,65,149,117347292
86,rectangle,67,150,117347341
