idx,label,x,y,timestamp
0,rectangle,85,163,267948056
1,rectangle,84,166,267948064
2,rectangle,83,170,267948072
3,rectangle,83,172,267948077
4,rectangle,82,175,267948083
5,rectangle,82,181,267948089
6,rectangle,81,184,267948095
7,rectangle,81,189,267948101
8,rectangle,80,192,267948108
9,rectangle,80,195,267948109
10,rectangle,79,200,267948117
11,rectangle,79,205,267948125
12,rectangle,78,208,267948132
13,rectangle,78,210,267948133
14,rectangle,78,215,267948142
15,rectangle,78,218,267948150
16,rectangle,78,222,267948158
17,rectangle,80,224,267948176
18,rectangle,82,225,267948184
19,rectangle,85,225,267948193
20,rectangle,89,224,267948202
21,rectangle,94,226,267948211
22,rectangle,96,227,267948212
23,rectangle,102,228,267948224
24,rectangle,105,228,267948225
25,rectangle,113,231,267948237
26,rectangle,119,234,267948247
27,rectangle,122,235,267948248
28,rectangle,131,237,267948261
29,rectangle,137,240,267948273
30,rectangle,139,241,267948283
31,rectangle,143,242,267948285
32,rectangle,146,242,267948298
33,rectangle,148,242,267948309
34,rectangle,150,242,267948321
35,rectangle,152,241,267948333
36,rectangle,153,233,267948346
37,rectangle,152,228,267948358
38,rectangle,152,218,267948371
39,rectangle,152,214,267948372
40,rectangle,151,203,267948387
41,rectangle,152,187,267948401
42,rectangle,154,176,267948415
43,rectangle,155,168,267948429
44,rectangle,155,165,267948443
45,rectangle,155,160,267948457
46,rectangle,153,159,267948472
47,rectangle,150,157,267948486
48,rectangle,144,158,267948501
49,rectangle,135,158,267948517
50,rectangle,124,160,267948532
51,rectangle,113,162,267948548
52,rectangle,106,164,267948565
53,rectangle,98,167,267948584
54,rectangle,96,167,267948601
