idx,label,x,y,timestamp
0,rectangle,52,132,87541638
1,rectangle,52,134,87541698
2,rectangle,52,136,87541707
3,rectangle,53,139,87541723
4,rectangle,54,142,87541736
5,rectangle,54,146,87541743
6,rectangle,54,148,87541750
7,rectangle,54,151,87541758
8,rectangle,54,153,87541765
9,rectangle,54,156,87541771
10,rectangle,55,158,87541779
11,rectangle,55,162,87541786
12,rectangle,55,164,87541793
13,rectangle,56,167,87541801
14,rectangle,56,170,87541809
15,rectangle,56,173,87541816
16,rectangle,56,177,87541824
17,rectangle,57,180,87541833
18,rectangle,57,182,87541841
19,rectangle,57,185,87541850
20,rectangle,57,189,87541859
21,rectangle,57,192,87541868
22,rectangle,57,195,87541877
23,rectangle,57,197,87541887
24,rectangle,57,199,87541896
25,rectangle,58,204,87541906
26,rectangle,58,206,87541916
27,rectangle,58,209,87541927
28,rectangle,58,211,87541937
29,rectangle,58,213,87541938
30,rectangle,58,215,87541951
31,rectangle,58,218,87541962
32,rectangle,58,220,87541973
33,rectangle,59,222,87541985
34,rectangle,59,225,87541996
35,rectangle,59,227,87542008
36,rectangle,59,229,87542020
37,rectangle,59,232,87542032
38,rectangle,59,234,87542046
39,rectangle,60,236,87542078
40,rectangle,62,235,87542134
41,rectangle,64,235,87542158
42,rectangle,66,236,87542178
43,rectangle,69,234,87542191
44,rectangle,71,234,87542205
45,rectangle,73,234,87542206
46,rectangle,76,234,87542221
47,rectangle,83,233,87542236
48,rectangle,90,232,87542251
49,rectangle,96,233,87542265
50,rectangle,103,233,87542281
51,rectangle,109,233,87542297
52,rectangle,115,233,87542313
53,rectangle,122,233,87542329
54,rectangle,128,234,87542345
55,rectangle,135,234,87542361
56,rectangle,141,234,87542379
57,rectangle,148,233,87542396
58,rectangle,155,233,87542413
59,rectangle,161,233,87542430
60,rectangle,164,233,87542431
61,rectangle,169,233,87542448
62,rectangle,173,232,87542466
63,rectangle,178,233,87542485
64,rectangle,181,232,87542503
65,rectangle,186,233,87542521
66,rectangle,189,232,87542540
67,rectangle,193,232,87542559
68,rectangle,196,231,87542578
69,rectangle,198,232,87542579
70,rectangle,200,231,87542598
71,rectangle,202,231,87542617
72,rectangle,204,231,87542642
73,rectangle,206,229,87542735
74,rectangle,206,226,87542787
75,rectangle,206,224,87542807
76,rectangle,205,221,87542828
77,rectangle,204,217,87542849
78,rectangle,201,209,87542873
79,rectangle,200,203,87542898
80,rectangle,197,194,87542923
81,rectangle,195,187,87542948
82,rectangle,195,185,87542970
83,rectangle,194,183,87542971
84,rectangle,192,177,87542994
85,rectangle,191,170,87543016
86,rectangle,190,165,87543039
87,rectangle,189,160,87543062
88,rectangle,189,157,87543063
89,rectangle,188,153,87543086
90,rectangle,188,151,87543088
91,rectangle,187,147,87543111
92,rectangle,186,142,87543136
93,rectangle,185,137,87543160
94,rectangle,183,133,87543184
95,rectangle,182,129,87543211
96,rectangle,182,126,87543240
97,rectangle,180,124,87543288
98,rectangle,178,125,87543320
99,rectangle,176,125,87543345
100,rectangle,172,127,87543371
101,rectangle,162,128,87543397
102,rectangle,157,128,87543423
103,rectangle,150,128,87543449
104,rectangle,145,130,87543475
105,rectangle,143,129,87543476
106,rectangle,136,128,87543504
107,rectangle,129,128,87543532
108,rectangle,123,128,87543560
109,rectangle,115,127,87543588
110,rectangle,110,128,87543616
111,rectangle,105,128,87543645
112,rectangle,99,129,87543673
113,rectangle,95,130,87543701
114,rectangle,91,130,87543732
115,rectangle,89,131,87543761
116,rectangle,84,131,87543789
117,rectangle,80,130,87543819
118,rectangle,75,131,87543849
119,rectangle,71,131,87543878
120,rectangle,69,131,87543911
121,rectangle,67,130,87543912
