idx,label,x,y,timestamp
0,rectangle,86,157,267943441
1,rectangle,86,160,267943477
2,rectangle,85,164,267943485
3,rectangle,85,166,267943490
4,rectangle,85,170,267943497
5,rectangle,85,172,267943503
6,rectangle,84,179,267943509
7,rectangle,83,183,267943515
8,rectangle,82,190,267943522
9,rectangle,82,198,267943530
10,rectangle,81,207,267943537
11,rectangle,81,210,267943545
12,rectangle,80,214,267943546
13,rectangle,80,221,267943554
14,rectangle,79,226,267943562
15,rectangle,79,229,267943571
16,rectangle,79,232,267943579
17,rectangle,79,235,267943588
18,rectangle,81,236,267943629
19,rectangle,83,237,267943646
20,rectangle,86,235,267943658
21,rectangle,88,235,267943670
22,rectangle,92,235,267943679
23,rectangle,95,235,267943689
24,rectangle,101,235,267943698
25,rectangle,106,235,267943709
26,rectangle,115,236,267943720
27,rectangle,124,236,267943731
28,rectangle,133,235,267943743
29,rectangle,142,233,267943754
30,rectangle,150,234,267943767
31,rectangle,157,232,267943779
32,rectangle,160,233,267943791
33,rectangle,165,232,267943803
34,rectangle,167,234,267943815
35,rectangle,167,236,267943875
36,rectangle,165,234,267943903
37,rectangle,165,230,267943916
38,rectangle,164,224,267943929
39,rectangle,163,215,267943943
40,rectangle,163,211,267943944
41,rectangle,162,201,267943958
42,rectangle,161,186,267943972
43,rectangle,161,173,267943987
44,rectangle,162,169,267944001
45,rectangle,162,163,267944018
46,rectangle,162,159,267944019
47,rectangle,163,157,267944034
48,rectangle,162,155,267944050
49,rectangle,162,153,267944066
50,rectangle,160,151,267944087
51,rectangle,157,152,267944103
52,rectangle,155,152,267944119
53,rectangle,150,152,267944135
54,rectangle,142,152,267944152
55,rectangle,134,151,267944169
56,rectangle,125,151,267944186
57,rectangle,123,151,267944187
58,rectangle,118,152,267944205
59,rectangle,107,154,267944223
60,rectangle,101,156,267944241
61,rectangle,96,157,267944260
