idx,label,x,y,timestamp
0,rectangle,89,174,253177446
1,rectangle,90,176,253177532
2,rectangle,90,179,253177540
3,rectangle,91,183,253177548
4,rectangle,91,185,253177554
5,rectangle,91,188,253177559
6,rectangle,91,190,253177560
7,rectangle,91,193,253177567
8,rectangle,90,199,253177573
9,rectangle,90,203,253177580
10,rectangle,89,207,253177581
11,rectangle,89,209,253177587
12,rectangle,88,213,253177588
13,rectangle,87,219,253177596
14,rectangle,86,221,253177604
15,rectangle,85,224,253177605
16,rectangle,84,229,253177613
17,rectangle,83,233,253177621
18,rectangle,83,235,253177629
19,rectangle,84,238,253177640
20,rectangle,86,238,253177656
21,rectangle,89,239,253177668
22,rectangle,92,239,253177677
23,rectangle,95,238,253177687
24,rectangle,98,237,253177697
25,rectangle,101,236,253177707
26,rectangle,108,235,253177718
27,rectangle,114,234,253177729
28,rectangle,118,233,253177740
29,rectangle,120,231,253177741
30,rectangle,127,231,253177753
31,rectangle,133,231,253177764
32,rectangle,139,230,253177777
33,rectangle,145,232,253177792
34,rectangle,150,233,253177807
35,rectangle,153,235,253177822
36,rectangle,155,236,253177835
37,rectangle,157,237,253177848
38,rectangle,158,239,253177864
39,rectangle,159,236,253177881
40,rectangle,159,233,253177897
41,rectangle,159,229,253177910
42,rectangle,159,223,253177924
43,rectangle,160,214,253177938
44,rectangle,160,207,253177952
45,rectangle,160,205,253177953
46,rectangle,160,198,253177968
47,rectangle,160,196,253177969
48,rectangle,159,189,253177985
49,rectangle,159,181,253178002
50,rectangle,158,174,253178018
51,rectangle,158,169,253178033
52,rectangle,158,167,253178049
53,rectangle,157,165,253178064
54,rectangle,156,162,253178080
55,rectangle,154,162,253178095
56,rectangle,149,162,253178113
57,rectangle,147,163,253178114
58,rectangle,140,164,253178131
59,rectangle,130,166,253178148
60,rectangle,128,167,253178149
61,rectangle,117,172,253178167
62,rectangle,104,177,253178185
63,rectangle,97,179,253178203
64,rectangle,95,180,253178221
65,rectangle,92,181,253178222
