idx,label,x,y,timestamp
0,rectangle,37,130,123098900
1,rectangle,37,128,123098912
2,rectangle,37,130,123098925
3,rectangle,38,132,123098941
4,rectangle,39,135,123098953
5,rectangle,39,138,123098961
6,rectangle,40,142,123098969
7,rectangle,40,144,123098976
8,rectangle,40,146,123098982
9,rectangle,40,148,123098990
10,rectangle,41,151,123098997
11,rectangle,41,154,123098998
12,rectangle,41,159,123099005
13,rectangle,42,163,123099013
14,rectangle,42,167,123099021
15,rectangle,42,172,123099030
16,rectangle,42,178,123099038
17,rectangle,43,183,123099048
18,rectangle,43,185,123099049
19,rectangle,43,190,123099059
20,rectangle,43,195,123099070
21,rectangle,43,199,123099080
22,rectangle,43,202,123099081
23,rectangle,43,207,123099093
24,rectangle,43,209,123099094
25,rectangle,43,211,123099104
26,rectangle,43,214,123099105
27,rectangle,43,217,123099116
28,rectangle,42,224,123099127
29,rectangle,42,228,123099139
30,rectangle,41,234,123099150
31,rectangle,40,238,123099162
32,rectangle,40,242,123099174
33,rectangle,40,244,123099186
34,rectangle,40,250,123099198
35,rectangle,40,253,123099213
36,rectangle,39,255,123099225
37,rectangle,38,258,123099238
38,rectangle,38,260,123099250
39,rectangle,38,262,123099269
40,rectangle,38,264,123099306
41,rectangle,38,266,123099346
42,rectangle,41,266,123099378
43,rectangle,43,265,123099395
44,rectangle,45,264,123099409
45,rectangle,49,264,123099424
46,rectangle,55,265,123099438
47,rectangle,60,264,123099453
48,rectangle,67,264,123099468
49,rectangle,70,264,123099483
50,rectangle,73,263,123099484
51,rectangle,79,262,123099499
52,rectangle,85,262,123099515
53,rectangle,91,261,123099531
54,rectangle,97,261,123099548
55,rectangle,103,261,123099564
56,rectangle,109,261,123099580
57,rectangle,115,261,123099597
58,rectangle,120,261,123099615
59,rectangle,126,261,123099632
60,rectangle,132,262,123099650
61,rectangle,141,261,123099668
62,rectangle,146,263,123099687
63,rectangle,152,263,123099706
64,rectangle,155,262,123099707
65,rectangle,161,262,123099726
66,rectangle,166,262,123099746
67,rectangle,174,263,123099765
68,rectangle,178,264,123099784
69,rectangle,183,264,123099803
70,rectangle,185,263,123099823
71,rectangle,187,264,123099843
72,rectangle,189,264,123099863
73,rectangle,191,264,123099892
74,rectangle,192,262,123099920
75,rectangle,192,260,123099948
76,rectangle,192,258,123099973
77,rectangle,193,254,123099994
78,rectangle,192,249,123100016
79,rectangle,192,243,123100037
80,rectangle,192,236,123100059
81,rectangle,190,228,123100081
82,rectangle,190,220,123100103
83,rectangle,189,212,123100126
84,rectangle,189,208,123100148
85,rectangle,189,200,123100171
86,rectangle,189,192,123100195
87,rectangle,189,187,123100218
88,rectangle,189,182,123100241
89,rectangle,188,176,123100265
90,rectangle,188,169,123100289
91,rectangle,188,164,123100313
92,rectangle,188,160,123100337
93,rectangle,188,152,123100362
94,rectangle,188,147,123100386
95,rectangle,188,145,123100411
96,rectangle,188,140,123100436
97,rectangle,188,135,123100461
98,rectangle,188,133,123100490
99,rectangle,189,131,123100537
100,rectangle,187,131,123100609
101,rectangle,185,130,123100638
102,rectangle,183,131,123100664
103,rectangle,178,131,123100691
104,rectangle,171,133,123100719
105,rectangle,164,134,123100747
106,rectangle,157,135,123100775
107,rectangle,146,135,123100804
108,rectangle,134,137,123100833
109,rectangle,121,137,123100862
110,rectangle,111,137,123100891
111,rectangle,100,138,123100919
112,rectangle,91,139,123100952
113,rectangle,85,137,123100980
114,rectangle,78,138,123101009
115,rectangle,69,137,123101038
116,rectangle,61,136,123101070
117,rectangle,56,135,123101100
118,rectangle,50,134,123101130
119,rectangle,45,134,123101165
120,rectangle,41,133,123101195
121,rectangle,36,131,123101226
122,rectangle,34,131,123101259
