idx,label,x,y,timestamp
0,right_curly_brace,107,128,119266636
1,right_curly_brace,109,127,119266716
2,right_curly_brace,111,127,119266736
3,right_curly_brace,113,127,119266752
4,right_curly_brace,115,126,119266768
5,right_curly_brace,117,126,119266784
6,right_curly_brace,119,127,119266804
7,right_curly_brace,121,127,119266825
8,right_curly_brace,123,127,119266849
9,right_curly_brace,125,127,119266874
10,right_curly_brace,127,128,119266898
11,right_curly_brace,129,129,119266926
12,right_curly_brace,131,131,119266955
13,right_curly_brace,133,133,119266984
14,right_curly_brace,135,134,119267015
15,right_curly_brace,136,136,119267035
16,right_curly_brace,136,138,119267051
17,right_curly_brace,137,141,119267064
18,right_curly_brace,139,142,119267119
19,right_curly_brace,139,144,119267136
20,right_curly_brace,140,146,119267164
21,right_curly_brace,140,148,119267176
22,right_curly_brace,141,150,119267217
23,right_curly_brace,142,153,119267241
24,right_curly_brace,143,155,119267273
25,right_curly_brace,144,157,119267289
26,right_curly_brace,144,160,119267306
27,right_curly_brace,144,162,119267330
28,right_curly_brace,145,165,119267357
29,right_curly_brace,145,167,119267377
30,right_curly_brace,145,169,119267413
31,right_curly_brace,145,171,119267429
32,right_curly_brace,145,173,119267449
33,right_curly_brace,145,175,119267469
34,right_curly_brace,144,177,119267515
35,right_curly_brace,144,179,119267546
36,right_curly_brace,143,181,119267566
37,right_curly_brace,143,183,119267590
38,right_curly_brace,142,185,119267610
39,right_curly_brace,141,187,119267650
40,right_curly_brace,141,189,119267675
41,right_curly_brace,140,191,119267707
42,right_curly_brace,139,194,119267748
43,right_curly_brace,139,196,119267768
44,right_curly_brace,138,198,119267799
45,right_curly_brace,138,200,119267816
46,right_curly_brace,138,202,119267840
47,right_curly_brace,138,204,119267879
48,right_curly_brace,137,207,119267907
49,right_curly_brace,138,209,119267923
50,right_curly_brace,138,211,119267964
51,right_curly_brace,138,214,119267984
52,right_curly_brace,139,216,119268016
53,right_curly_brace,140,218,119268057
54,right_curly_brace,141,220,119268111
55,right_curly_brace,142,222,119268155
56,right_curly_brace,143,225,119268202
57,right_curly_brace,145,226,119268263
58,right_curly_brace,147,226,119268319
59,right_curly_brace,148,228,119268351
60,right_curly_brace,150,228,119268392
61,right_curly_brace,152,229,119268433
62,right_curly_brace,154,230,119268477
63,right_curly_brace,156,229,119268582
64,right_curly_brace,154,229,119268744
65,right_curly_brace,152,229,119268768
66,right_curly_brace,150,230,119268792
67,right_curly_brace,148,230,119268824
68,right_curly_brace,146,231,119268856
69,right_curly_brace,144,232,119268888
70,right_curly_brace,142,233,119268933
71,right_curly_brace,140,235,119268986
72,right_curly_brace,139,238,119269047
73,right_curly_brace,138,240,119269072
74,right_curly_brace,138,243,119269116
75,right_curly_brace,139,245,119269156
76,right_curly_brace,139,247,119269192
77,right_curly_brace,140,249,119269232
78,right_curly_brace,140,251,119269261
79,right_curly_brace,140,253,119269285
80,right_curly_brace,140,255,119269310
81,right_curly_brace,140,257,119269331
82,right_curly_brace,140,259,119269371
83,right_curly_brace,140,262,119269393
84,right_curly_brace,139,264,119269415
85,right_curly_brace,139,266,119269447
86,right_curly_brace,139,268,119269486
87,right_curly_brace,139,270,119269509
88,right_curly_brace,138,272,119269531
89,right_curly_brace,136,274,119269575
90,right_curly_brace,135,276,119269598
91,right_curly_brace,133,278,119269622
92,right_curly_brace,131,280,119269645
93,right_curly_brace,129,282,119269669
94,right_curly_brace,125,282,119269697
95,right_curly_brace,121,283,119269722
96,right_curly_brace,116,284,119269747
97,right_curly_brace,111,284,119269772
98,right_curly_brace,106,283,119269798
99,right_curly_brace,100,282,119269823
100,right_curly_brace,94,279,119269849
101,right_curly_brace,89,277,119269875
102,right_curly_brace,87,276,119269902
