idx,label,x,y,timestamp
0,right_curly_brace,97,132,120592342
1,right_curly_brace,98,130,120592435
2,right_curly_brace,101,129,120592459
3,right_curly_brace,103,130,120592476
4,right_curly_brace,105,130,120592488
5,right_curly_brace,108,129,120592500
6,right_curly_brace,110,129,120592508
7,right_curly_brace,112,131,120592520
8,right_curly_brace,115,132,120592532
9,right_curly_brace,117,134,120592545
10,right_curly_brace,119,137,120592557
11,right_curly_brace,121,139,120592569
12,right_curly_brace,121,142,120592577
13,right_curly_brace,122,144,120592586
14,right_curly_brace,122,147,120592593
15,right_curly_brace,122,149,120592601
16,right_curly_brace,122,151,120592610
17,right_curly_brace,122,154,120592618
18,right_curly_brace,122,157,120592629
19,right_curly_brace,122,159,120592638
20,right_curly_brace,121,162,120592649
21,right_curly_brace,120,165,120592658
22,right_curly_brace,119,167,120592668
23,right_curly_brace,117,170,120592678
24,right_curly_brace,116,172,120592688
25,right_curly_brace,114,174,120592699
26,right_curly_brace,113,177,120592709
27,right_curly_brace,111,180,120592720
28,right_curly_brace,110,183,120592730
29,right_curly_brace,109,186,120592741
30,right_curly_brace,107,188,120592756
31,right_curly_brace,107,190,120592767
32,right_curly_brace,107,192,120592779
33,right_curly_brace,106,195,120592791
34,right_curly_brace,107,197,120592804
35,right_curly_brace,107,199,120592816
36,right_curly_brace,109,200,120592839
37,right_curly_brace,111,203,120592860
38,right_curly_brace,112,205,120592884
39,right_curly_brace,114,206,120592929
40,right_curly_brace,114,208,120592986
41,right_curly_brace,112,208,120593139
42,right_curly_brace,110,208,120593171
43,right_curly_brace,108,209,120593196
44,right_curly_brace,107,211,120593216
45,right_curly_brace,105,214,120593244
46,right_curly_brace,105,216,120593260
47,right_curly_brace,105,218,120593275
48,right_curly_brace,105,220,120593289
49,right_curly_brace,106,222,120593312
50,right_curly_brace,108,225,120593330
51,right_curly_brace,110,226,120593345
52,right_curly_brace,112,231,120593361
53,right_curly_brace,113,236,120593378
54,right_curly_brace,114,242,120593394
55,right_curly_brace,115,246,120593411
56,right_curly_brace,115,252,120593427
57,right_curly_brace,115,255,120593428
58,right_curly_brace,113,259,120593446
59,right_curly_brace,111,264,120593463
60,right_curly_brace,107,269,120593481
61,right_curly_brace,105,269,120593498
62,right_curly_brace,103,270,120593516
63,right_curly_brace,100,271,120593535
64,right_curly_brace,98,270,120593553
65,right_curly_brace,96,269,120593572
66,right_curly_brace,94,269,120593591
