idx,label,x,y,timestamp
0,right_curly_brace,92,147,116891468
1,right_curly_brace,93,145,116891497
2,right_curly_brace,95,143,116891541
3,right_curly_brace,97,141,116891570
4,right_curly_brace,99,141,116891603
5,right_curly_brace,101,141,116891631
6,right_curly_brace,103,140,116891660
7,right_curly_brace,104,142,116891692
8,right_curly_brace,106,144,116891724
9,right_curly_brace,106,146,116891748
10,right_curly_brace,107,149,116891779
11,right_curly_brace,108,151,116891819
12,right_curly_brace,108,153,116891839
13,right_curly_brace,109,156,116891884
14,right_curly_brace,109,158,116891908
15,right_curly_brace,109,160,116891932
16,right_curly_brace,108,162,116891953
17,right_curly_brace,108,165,116891976
18,right_curly_brace,108,167,116892001
19,right_curly_brace,108,169,116892036
20,right_curly_brace,108,172,116892077
21,right_curly_brace,108,174,116892101
22,right_curly_brace,108,176,116892128
23,right_curly_brace,108,178,116892141
24,right_curly_brace,108,180,116892169
25,right_curly_brace,108,182,116892197
26,right_curly_brace,108,184,116892214
27,right_curly_brace,109,186,116892254
28,right_curly_brace,109,188,116892272
29,right_curly_brace,111,190,116892313
30,right_curly_brace,113,193,116892341
31,right_curly_brace,115,193,116892369
32,right_curly_brace,117,194,116892401
33,right_curly_brace,118,196,116892429
34,right_curly_brace,120,196,116892474
35,right_curly_brace,121,198,116892507
36,right_curly_brace,120,201,116892604
37,right_curly_brace,118,203,116892631
38,right_curly_brace,116,204,116892668
39,right_curly_brace,114,206,116892708
40,right_curly_brace,113,208,116892736
41,right_curly_brace,111,211,116892768
42,right_curly_brace,110,213,116892785
43,right_curly_brace,108,215,116892801
44,right_curly_brace,106,217,116892833
45,right_curly_brace,105,219,116892854
46,right_curly_brace,104,221,116892870
47,right_curly_brace,103,223,116892894
48,right_curly_brace,103,225,116892918
49,right_curly_brace,101,228,116892942
50,right_curly_brace,101,231,116892962
51,right_curly_brace,100,233,116892978
52,right_curly_brace,99,235,116893010
53,right_curly_brace,98,237,116893025
54,right_curly_brace,96,239,116893046
55,right_curly_brace,95,241,116893066
56,right_curly_brace,92,243,116893091
57,right_curly_brace,90,244,116893108
58,right_curly_brace,88,245,116893124
59,right_curly_brace,86,245,116893141
60,right_curly_brace,84,245,116893157
61,right_curly_brace,82,245,116893175
62,right_curly_brace,80,244,116893192
63,right_curly_brace,77,245,116893211
64,right_curly_brace,75,245,116893229
65,right_curly_brace,73,244,116893247
66,right_curly_brace,71,242,116893266
67,right_curly_brace,69,239,116893285
68,right_curly_brace,68,237,116893303
69,right_curly_brace,67,235,116893322
70,right_curly_brace,66,233,116893352
71,right_curly_brace,66,230,116893372
