idx,label,x,y,timestamp
0,right_curly_brace,107,130,202117976
1,right_curly_brace,106,132,202117988
2,right_curly_brace,108,130,202118033
3,right_curly_brace,111,130,202118045
4,right_curly_brace,113,129,202118058
5,right_curly_brace,115,128,202118065
6,right_curly_brace,117,130,202118073
7,right_curly_brace,119,131,202118085
8,right_curly_brace,122,133,202118097
9,right_curly_brace,124,135,202118109
10,right_curly_brace,126,137,202118121
11,right_curly_brace,128,138,202118133
12,right_curly_brace,130,141,202118146
13,right_curly_brace,131,143,202118154
14,right_curly_brace,132,145,202118167
15,right_curly_brace,132,148,202118179
16,right_curly_brace,132,150,202118196
17,right_curly_brace,132,152,202118213
18,right_curly_brace,131,155,202118221
19,right_curly_brace,131,157,202118242
20,right_curly_brace,131,159,202118251
21,right_curly_brace,130,162,202118259
22,right_curly_brace,129,164,202118278
23,right_curly_brace,127,166,202118295
24,right_curly_brace,125,169,202118314
25,right_curly_brace,123,171,202118327
26,right_curly_brace,120,173,202118339
27,right_curly_brace,118,174,202118349
28,right_curly_brace,116,175,202118360
29,right_curly_brace,113,176,202118370
30,right_curly_brace,111,178,202118381
31,right_curly_brace,108,180,202118392
32,right_curly_brace,106,180,202118404
33,right_curly_brace,105,182,202118420
34,right_curly_brace,103,184,202118453
35,right_curly_brace,105,184,202118535
36,right_curly_brace,107,184,202118554
37,right_curly_brace,109,185,202118567
38,right_curly_brace,111,183,202118579
39,right_curly_brace,114,184,202118592
40,right_curly_brace,116,184,202118605
41,right_curly_brace,120,185,202118618
42,right_curly_brace,122,185,202118631
43,right_curly_brace,125,184,202118645
44,right_curly_brace,127,184,202118659
45,right_curly_brace,129,185,202118673
46,right_curly_brace,131,186,202118706
47,right_curly_brace,129,186,202118796
48,right_curly_brace,122,189,202118837
49,right_curly_brace,116,191,202118880
50,right_curly_brace,113,191,202118881
51,right_curly_brace,111,193,202118896
52,right_curly_brace,104,195,202118941
53,right_curly_brace,106,196,202119100
54,right_curly_brace,109,196,202119117
55,right_curly_brace,111,197,202119133
56,right_curly_brace,113,198,202119148
57,right_curly_brace,116,199,202119164
58,right_curly_brace,118,201,202119165
59,right_curly_brace,120,202,202119182
60,right_curly_brace,123,204,202119199
61,right_curly_brace,125,206,202119216
62,right_curly_brace,127,208,202119233
63,right_curly_brace,128,210,202119250
64,right_curly_brace,129,213,202119268
65,right_curly_brace,130,215,202119269
66,right_curly_brace,131,217,202119288
67,right_curly_brace,132,222,202119308
68,right_curly_brace,132,228,202119328
69,right_curly_brace,131,233,202119347
70,right_curly_brace,131,237,202119368
71,right_curly_brace,129,241,202119387
72,right_curly_brace,127,246,202119406
73,right_curly_brace,125,248,202119425
74,right_curly_brace,120,252,202119445
75,right_curly_brace,118,254,202119465
76,right_curly_brace,116,256,202119466
77,right_curly_brace,112,258,202119486
78,right_curly_brace,108,261,202119507
79,right_curly_brace,101,262,202119530
80,right_curly_brace,97,263,202119551
81,right_curly_brace,92,262,202119572
82,right_curly_brace,91,264,202119593
83,right_curly_brace,93,264,202119638
