idx,label,x,y,timestamp
0,right_curly_brace,79,129,122471123
1,right_curly_brace,81,128,122471155
2,right_curly_brace,83,126,122471171
3,right_curly_brace,85,125,122471182
4,right_curly_brace,87,126,122471195
5,right_curly_brace,89,125,122471203
6,right_curly_brace,92,124,122471215
7,right_curly_brace,94,125,122471223
8,right_curly_brace,97,126,122471235
9,right_curly_brace,99,128,122471247
10,right_curly_brace,101,127,122471255
11,right_curly_brace,104,128,122471267
12,right_curly_brace,106,130,122471280
13,right_curly_brace,107,132,122471288
14,right_curly_brace,109,133,122471301
15,right_curly_brace,111,135,122471313
16,right_curly_brace,112,138,122471333
17,right_curly_brace,113,141,122471354
18,right_curly_brace,113,143,122471369
19,right_curly_brace,113,145,122471379
20,right_curly_brace,113,148,122471401
21,right_curly_brace,112,150,122471417
22,right_curly_brace,111,153,122471437
23,right_curly_brace,111,155,122471454
24,right_curly_brace,110,157,122471466
25,right_curly_brace,108,159,122471490
26,right_curly_brace,106,161,122471502
27,right_curly_brace,105,163,122471522
28,right_curly_brace,103,165,122471534
29,right_curly_brace,102,168,122471550
30,right_curly_brace,100,171,122471574
31,right_curly_brace,98,173,122471590
32,right_curly_brace,97,175,122471610
33,right_curly_brace,97,177,122471626
34,right_curly_brace,96,180,122471651
35,right_curly_brace,96,182,122471668
36,right_curly_brace,96,184,122471689
37,right_curly_brace,96,186,122471701
38,right_curly_brace,98,187,122471734
39,right_curly_brace,101,189,122471758
40,right_curly_brace,103,189,122471778
41,right_curly_brace,105,189,122471798
42,right_curly_brace,107,189,122471819
43,right_curly_brace,109,189,122471843
44,right_curly_brace,107,190,122471959
45,right_curly_brace,105,192,122471987
46,right_curly_brace,103,193,122472015
47,right_curly_brace,101,194,122472056
48,right_curly_brace,100,197,122472114
49,right_curly_brace,102,199,122472142
50,right_curly_brace,103,202,122472162
51,right_curly_brace,105,204,122472194
52,right_curly_brace,107,205,122472218
53,right_curly_brace,109,208,122472243
54,right_curly_brace,109,210,122472260
55,right_curly_brace,110,212,122472279
56,right_curly_brace,110,215,122472300
57,right_curly_brace,110,217,122472328
58,right_curly_brace,110,220,122472345
59,right_curly_brace,109,222,122472362
60,right_curly_brace,108,225,122472388
61,right_curly_brace,107,227,122472416
62,right_curly_brace,106,229,122472434
63,right_curly_brace,104,232,122472457
64,right_curly_brace,102,234,122472477
65,right_curly_brace,100,235,122472495
66,right_curly_brace,98,236,122472514
67,right_curly_brace,96,237,122472533
68,right_curly_brace,93,239,122472552
69,right_curly_brace,91,238,122472553
70,right_curly_brace,89,238,122472573
71,right_curly_brace,87,239,122472593
72,right_curly_brace,84,239,122472594
73,right_curly_brace,82,239,122472614
74,right_curly_brace,77,237,122472635
75,right_curly_brace,75,238,122472656
76,right_curly_brace,73,238,122472676
77,right_curly_brace,69,238,122472704
