idx,label,x,y,timestamp
0,right_curly_brace,112,120,268094607
1,right_curly_brace,115,121,268094631
2,right_curly_brace,117,120,268094644
3,right_curly_brace,119,119,268094656
4,right_curly_brace,121,120,268094668
5,right_curly_brace,123,118,268094676
6,right_curly_brace,126,118,268094684
7,right_curly_brace,128,119,268094692
8,right_curly_brace,130,120,268094700
9,right_curly_brace,133,121,268094708
10,right_curly_brace,135,121,268094716
11,right_curly_brace,138,122,268094724
12,right_curly_brace,141,124,268094732
13,right_curly_brace,143,126,268094741
14,right_curly_brace,146,128,268094752
15,right_curly_brace,148,131,268094760
16,right_curly_brace,149,133,268094769
17,right_curly_brace,151,136,268094780
18,right_curly_brace,152,138,268094793
19,right_curly_brace,152,140,268094802
20,right_curly_brace,151,143,268094811
21,right_curly_brace,151,146,268094820
22,right_curly_brace,149,149,268094830
23,right_curly_brace,149,151,268094839
24,right_curly_brace,146,156,268094849
25,right_curly_brace,145,159,268094859
26,right_curly_brace,142,162,268094869
27,right_curly_brace,141,165,268094880
28,right_curly_brace,139,168,268094890
29,right_curly_brace,135,174,268094901
30,right_curly_brace,133,177,268094912
31,right_curly_brace,132,179,268094924
32,right_curly_brace,131,184,268094935
33,right_curly_brace,130,187,268094947
34,right_curly_brace,130,189,268094959
35,right_curly_brace,132,194,268094971
36,right_curly_brace,132,196,268094983
37,right_curly_brace,134,199,268094996
38,right_curly_brace,136,201,268095008
39,right_curly_brace,138,203,268095022
40,right_curly_brace,140,205,268095035
41,right_curly_brace,143,205,268095048
42,right_curly_brace,145,206,268095049
43,right_curly_brace,147,206,268095065
44,right_curly_brace,149,207,268095093
45,right_curly_brace,149,209,268095157
46,right_curly_brace,147,209,268095212
47,right_curly_brace,145,209,268095236
48,right_curly_brace,143,210,268095264
49,right_curly_brace,141,210,268095341
50,right_curly_brace,139,210,268095397
51,right_curly_brace,137,211,268095425
52,right_curly_brace,135,212,268095453
53,right_curly_brace,133,213,268095482
54,right_curly_brace,131,215,268095503
55,right_curly_brace,129,217,268095532
56,right_curly_brace,127,219,268095552
57,right_curly_brace,126,221,268095569
58,right_curly_brace,125,224,268095597
59,right_curly_brace,125,226,268095614
60,right_curly_brace,126,228,268095637
61,right_curly_brace,127,231,268095654
62,right_curly_brace,128,234,268095672
63,right_curly_brace,128,237,268095673
64,right_curly_brace,129,239,268095691
65,right_curly_brace,130,244,268095710
66,right_curly_brace,132,250,268095728
67,right_curly_brace,132,252,268095730
68,right_curly_brace,132,258,268095749
69,right_curly_brace,132,262,268095768
70,right_curly_brace,131,268,268095788
71,right_curly_brace,129,276,268095808
72,right_curly_brace,128,278,268095828
73,right_curly_brace,123,283,268095848
74,right_curly_brace,115,286,268095868
75,right_curly_brace,109,285,268095889
76,right_curly_brace,106,284,268095890
77,right_curly_brace,102,280,268095911
78,right_curly_brace,100,278,268095932
79,right_curly_brace,99,276,268095953
