idx,label,x,y,timestamp
0,right_curly_brace,114,141,202110163
1,right_curly_brace,116,141,202110212
2,right_curly_brace,118,143,202110259
3,right_curly_brace,120,143,202110279
4,right_curly_brace,122,144,202110292
5,right_curly_brace,124,146,202110300
6,right_curly_brace,126,148,202110316
7,right_curly_brace,128,150,202110333
8,right_curly_brace,129,153,202110345
9,right_curly_brace,129,156,202110357
10,right_curly_brace,130,159,202110369
11,right_curly_brace,130,161,202110382
12,right_curly_brace,131,163,202110394
13,right_curly_brace,131,166,202110402
14,right_curly_brace,131,168,202110411
15,right_curly_brace,131,171,202110418
16,right_curly_brace,131,174,202110437
17,right_curly_brace,130,176,202110449
18,right_curly_brace,129,179,202110470
19,right_curly_brace,129,181,202110478
20,right_curly_brace,128,183,202110490
21,right_curly_brace,127,185,202110499
22,right_curly_brace,127,187,202110508
23,right_curly_brace,125,190,202110523
24,right_curly_brace,123,193,202110539
25,right_curly_brace,122,196,202110551
26,right_curly_brace,121,198,202110561
27,right_curly_brace,120,200,202110571
28,right_curly_brace,118,202,202110583
29,right_curly_brace,116,204,202110594
30,right_curly_brace,115,206,202110605
31,right_curly_brace,113,209,202110616
32,right_curly_brace,112,211,202110635
33,right_curly_brace,114,210,202110692
34,right_curly_brace,116,209,202110741
35,right_curly_brace,119,209,202110765
36,right_curly_brace,121,208,202110782
37,right_curly_brace,123,207,202110795
38,right_curly_brace,125,208,202110810
39,right_curly_brace,127,209,202110823
40,right_curly_brace,129,209,202110837
41,right_curly_brace,134,210,202110872
42,right_curly_brace,136,210,202110908
43,right_curly_brace,138,210,202110945
44,right_curly_brace,136,209,202111018
45,right_curly_brace,133,211,202111039
46,right_curly_brace,131,213,202111055
47,right_curly_brace,129,214,202111071
48,right_curly_brace,126,214,202111087
49,right_curly_brace,124,216,202111102
50,right_curly_brace,122,216,202111116
51,right_curly_brace,120,218,202111131
52,right_curly_brace,118,219,202111146
53,right_curly_brace,116,221,202111162
54,right_curly_brace,114,222,202111187
55,right_curly_brace,113,224,202111207
56,right_curly_brace,116,224,202111333
57,right_curly_brace,118,223,202111369
58,right_curly_brace,120,224,202111390
59,right_curly_brace,122,226,202111406
60,right_curly_brace,124,226,202111424
61,right_curly_brace,126,228,202111442
62,right_curly_brace,128,230,202111460
63,right_curly_brace,129,232,202111477
64,right_curly_brace,130,235,202111495
65,right_curly_brace,130,237,202111513
66,right_curly_brace,130,240,202111530
67,right_curly_brace,130,242,202111548
68,right_curly_brace,130,246,202111567
69,right_curly_brace,129,249,202111586
70,right_curly_brace,129,251,202111605
71,right_curly_brace,128,254,202111624
72,right_curly_brace,127,259,202111643
73,right_curly_brace,125,261,202111662
74,right_curly_brace,124,264,202111682
75,right_curly_brace,120,269,202111704
76,right_curly_brace,118,271,202111724
77,right_curly_brace,114,275,202111744
78,right_curly_brace,109,279,202111765
79,right_curly_brace,107,279,202111785
80,right_curly_brace,102,283,202111806
81,right_curly_brace,100,283,202111826
82,right_curly_brace,98,284,202111847
