idx,label,x,y,timestamp
0,right_curly_brace,104,139,119283678
1,right_curly_brace,106,139,119283835
2,right_curly_brace,108,139,119283872
3,right_curly_brace,110,139,119283917
4,right_curly_brace,112,139,119283949
5,right_curly_brace,114,139,119283977
6,right_curly_brace,116,140,119284010
7,right_curly_brace,118,139,119284034
8,right_curly_brace,120,139,119284066
9,right_curly_brace,122,141,119284102
10,right_curly_brace,124,142,119284139
11,right_curly_brace,126,143,119284180
12,right_curly_brace,128,145,119284208
13,right_curly_brace,130,147,119284249
14,right_curly_brace,131,149,119284297
15,right_curly_brace,133,151,119284338
16,right_curly_brace,133,153,119284358
17,right_curly_brace,134,156,119284398
18,right_curly_brace,135,158,119284427
19,right_curly_brace,136,160,119284475
20,right_curly_brace,136,162,119284495
21,right_curly_brace,136,165,119284515
22,right_curly_brace,137,167,119284543
23,right_curly_brace,138,169,119284579
24,right_curly_brace,138,171,119284600
25,right_curly_brace,138,173,119284628
26,right_curly_brace,139,175,119284652
27,right_curly_brace,139,177,119284703
28,right_curly_brace,140,180,119284730
29,right_curly_brace,140,182,119284749
30,right_curly_brace,140,184,119284784
31,right_curly_brace,140,186,119284817
32,right_curly_brace,140,188,119284854
33,right_curly_brace,140,191,119284874
34,right_curly_brace,140,193,119284907
35,right_curly_brace,140,195,119284936
36,right_curly_brace,140,197,119284953
37,right_curly_brace,140,199,119284993
38,right_curly_brace,139,201,119285014
39,right_curly_brace,139,203,119285054
40,right_curly_brace,139,205,119285070
41,right_curly_brace,139,208,119285111
42,right_curly_brace,139,210,119285147
43,right_curly_brace,139,212,119285180
44,right_curly_brace,139,214,119285201
45,right_curly_brace,140,216,119285253
46,right_curly_brace,141,218,119285286
47,right_curly_brace,143,219,119285334
48,right_curly_brace,144,221,119285366
49,right_curly_brace,146,223,119285419
50,right_curly_brace,148,224,119285455
51,right_curly_brace,150,226,119285496
52,right_curly_brace,152,226,119285535
53,right_curly_brace,154,227,119285576
54,right_curly_brace,156,226,119285625
55,right_curly_brace,158,229,119285714
56,right_curly_brace,160,229,119285815
57,right_curly_brace,158,229,119286029
58,right_curly_brace,156,229,119286108
59,right_curly_brace,154,230,119286181
60,right_curly_brace,153,228,119286217
61,right_curly_brace,151,228,119286286
62,right_curly_brace,149,227,119286382
63,right_curly_brace,147,228,119286467
64,right_curly_brace,145,227,119286560
65,right_curly_brace,145,229,119286592
66,right_curly_brace,143,230,119286656
67,right_curly_brace,141,231,119286757
68,right_curly_brace,139,232,119286890
69,right_curly_brace,138,234,119286951
70,right_curly_brace,136,236,119287064
71,right_curly_brace,135,238,119287176
72,right_curly_brace,134,240,119287269
73,right_curly_brace,134,243,119287334
74,right_curly_brace,133,245,119287386
75,right_curly_brace,133,247,119287483
76,right_curly_brace,134,249,119287559
77,right_curly_brace,134,251,119287612
78,right_curly_brace,134,253,119287697
79,right_curly_brace,134,255,119287786
80,right_curly_brace,134,257,119287830
81,right_curly_brace,134,260,119287903
82,right_curly_brace,134,262,119287943
83,right_curly_brace,134,264,119287979
84,right_curly_brace,134,266,119288028
85,right_curly_brace,134,268,119288104
86,right_curly_brace,134,270,119288152
87,right_curly_brace,133,272,119288193
88,right_curly_brace,133,274,119288236
89,right_curly_brace,132,276,119288309
90,right_curly_brace,131,278,119288337
91,right_curly_brace,130,280,119288361
92,right_curly_brace,128,282,119288390
93,right_curly_brace,126,284,119288414
94,right_curly_brace,124,285,119288439
95,right_curly_brace,122,287,119288465
96,right_curly_brace,118,289,119288490
97,right_curly_brace,116,289,119288516
98,right_curly_brace,109,288,119288542
99,right_curly_brace,105,287,119288568
100,right_curly_brace,100,286,119288595
101,right_curly_brace,98,285,119288621
102,right_curly_brace,95,286,119288623
103,right_curly_brace,93,285,119288650
104,right_curly_brace,92,283,119288677
