idx,label,x,y,timestamp
0,right_curly_brace,95,190,119338777
1,right_curly_brace,97,189,119338805
2,right_curly_brace,100,188,119338817
3,right_curly_brace,102,186,119338826
4,right_curly_brace,105,186,119338833
5,right_curly_brace,108,187,119338841
6,right_curly_brace,111,186,119338850
7,right_curly_brace,115,186,119338858
8,right_curly_brace,118,186,119338866
9,right_curly_brace,121,187,119338874
10,right_curly_brace,123,189,119338882
11,right_curly_brace,126,190,119338890
12,right_curly_brace,128,190,119338898
13,right_curly_brace,130,192,119338907
14,right_curly_brace,131,194,119338917
15,right_curly_brace,133,196,119338930
16,right_curly_brace,133,198,119338938
17,right_curly_brace,133,201,119338947
18,right_curly_brace,133,203,119338959
19,right_curly_brace,133,205,119338968
20,right_curly_brace,133,207,119338977
21,right_curly_brace,133,209,119338988
22,right_curly_brace,132,211,119339003
23,right_curly_brace,131,214,119339019
24,right_curly_brace,130,216,119339029
25,right_curly_brace,128,217,119339040
26,right_curly_brace,125,218,119339052
27,right_curly_brace,120,221,119339063
28,right_curly_brace,118,223,119339075
29,right_curly_brace,115,224,119339086
30,right_curly_brace,113,225,119339088
31,right_curly_brace,110,227,119339101
32,right_curly_brace,108,229,119339113
33,right_curly_brace,106,229,119339131
34,right_curly_brace,105,232,119339143
35,right_curly_brace,104,234,119339164
36,right_curly_brace,103,236,119339180
37,right_curly_brace,103,238,119339196
38,right_curly_brace,104,240,119339232
39,right_curly_brace,106,243,119339252
40,right_curly_brace,108,245,119339269
41,right_curly_brace,110,246,119339283
42,right_curly_brace,112,247,119339297
43,right_curly_brace,114,247,119339312
44,right_curly_brace,116,248,119339327
45,right_curly_brace,119,249,119339342
46,right_curly_brace,121,249,119339357
47,right_curly_brace,123,249,119339376
48,right_curly_brace,125,250,119339391
49,right_curly_brace,127,252,119339406
50,right_curly_brace,128,254,119339456
51,right_curly_brace,126,257,119339483
52,right_curly_brace,124,258,119339500
53,right_curly_brace,121,260,119339517
54,right_curly_brace,119,261,119339534
55,right_curly_brace,117,263,119339536
56,right_curly_brace,115,263,119339555
57,right_curly_brace,113,264,119339572
58,right_curly_brace,111,265,119339595
59,right_curly_brace,109,266,119339668
60,right_curly_brace,107,268,119339693
61,right_curly_brace,105,270,119339711
62,right_curly_brace,103,271,119339730
63,right_curly_brace,101,273,119339748
64,right_curly_brace,99,275,119339750
65,right_curly_brace,97,277,119339771
66,right_curly_brace,92,280,119339790
67,right_curly_brace,88,283,119339812
68,right_curly_brace,86,284,119339832
69,right_curly_brace,84,285,119339834
70,right_curly_brace,82,286,119339854
71,right_curly_brace,80,287,119339881
72,right_curly_brace,78,287,119339921
73,right_curly_brace,76,288,119339941
74,right_curly_brace,74,288,119339962
75,right_curly_brace,72,288,119339983
76,right_curly_brace,71,286,119340005
77,right_curly_brace,71,283,119340029
78,right_curly_brace,72,280,119340051
79,right_curly_brace,72,275,119340073
