idx,label,x,y,timestamp
0,right_curly_brace,95,163,253365177
1,right_curly_brace,97,163,253365192
2,right_curly_brace,99,164,253365200
3,right_curly_brace,101,165,253365208
4,right_curly_brace,104,165,253365216
5,right_curly_brace,108,165,253365224
6,right_curly_brace,111,166,253365232
7,right_curly_brace,115,169,253365240
8,right_curly_brace,117,169,253365246
9,right_curly_brace,121,170,253365253
10,right_curly_brace,124,171,253365261
11,right_curly_brace,127,172,253365269
12,right_curly_brace,129,173,253365277
13,right_curly_brace,131,174,253365285
14,right_curly_brace,134,176,253365298
15,right_curly_brace,135,178,253365311
16,right_curly_brace,136,180,253365327
17,right_curly_brace,136,182,253365336
18,right_curly_brace,134,184,253365351
19,right_curly_brace,132,186,253365363
20,right_curly_brace,131,189,253365372
21,right_curly_brace,129,191,253365382
22,right_curly_brace,126,193,253365392
23,right_curly_brace,124,194,253365402
24,right_curly_brace,119,198,253365412
25,right_curly_brace,117,199,253365423
26,right_curly_brace,115,202,253365433
27,right_curly_brace,113,204,253365444
28,right_curly_brace,111,206,253365455
29,right_curly_brace,111,210,253365467
30,right_curly_brace,111,212,253365478
31,right_curly_brace,113,214,253365491
32,right_curly_brace,116,215,253365503
33,right_curly_brace,118,215,253365518
34,right_curly_brace,120,216,253365519
35,right_curly_brace,122,216,253365535
36,right_curly_brace,125,216,253365536
37,right_curly_brace,128,217,253365549
38,right_curly_brace,133,217,253365562
39,right_curly_brace,138,217,253365576
40,right_curly_brace,140,218,253365590
41,right_curly_brace,142,217,253365591
42,right_curly_brace,144,217,253365605
43,right_curly_brace,146,218,253365619
44,right_curly_brace,148,219,253365633
45,right_curly_brace,146,220,253365712
46,right_curly_brace,144,219,253365728
47,right_curly_brace,141,221,253365743
48,right_curly_brace,136,220,253365758
49,right_curly_brace,130,221,253365774
50,right_curly_brace,125,222,253365789
51,right_curly_brace,123,223,253365805
52,right_curly_brace,120,225,253365821
53,right_curly_brace,119,227,253365837
54,right_curly_brace,120,229,253365853
55,right_curly_brace,125,232,253365869
56,right_curly_brace,130,233,253365885
57,right_curly_brace,136,233,253365902
58,right_curly_brace,142,234,253365919
59,right_curly_brace,145,234,253365920
60,right_curly_brace,147,236,253365937
61,right_curly_brace,150,241,253365955
62,right_curly_brace,151,244,253365956
63,right_curly_brace,150,249,253365974
64,right_curly_brace,146,261,253365993
65,right_curly_brace,143,267,253366012
66,right_curly_brace,140,271,253366013
67,right_curly_brace,136,276,253366032
68,right_curly_brace,131,279,253366051
69,right_curly_brace,129,280,253366070
