idx,label,x,y,timestamp
0,right_curly_brace,109,146,119305457
1,right_curly_brace,111,145,119305542
2,right_curly_brace,113,145,119305558
3,right_curly_brace,116,145,119305575
4,right_curly_brace,118,146,119305586
5,right_curly_brace,120,147,119305603
6,right_curly_brace,122,147,119305619
7,right_curly_brace,124,147,119305635
8,right_curly_brace,126,148,119305654
9,right_curly_brace,128,148,119305674
10,right_curly_brace,130,150,119305686
11,right_curly_brace,132,150,119305702
12,right_curly_brace,134,153,119305722
13,right_curly_brace,136,155,119305742
14,right_curly_brace,137,157,119305758
15,right_curly_brace,138,159,119305778
16,right_curly_brace,139,162,119305795
17,right_curly_brace,140,164,119305812
18,right_curly_brace,140,166,119305824
19,right_curly_brace,141,169,119305836
20,right_curly_brace,141,171,119305848
21,right_curly_brace,141,173,119305861
22,right_curly_brace,141,175,119305877
23,right_curly_brace,141,177,119305893
24,right_curly_brace,141,179,119305910
25,right_curly_brace,141,182,119305926
26,right_curly_brace,140,184,119305938
27,right_curly_brace,140,186,119305954
28,right_curly_brace,139,188,119305966
29,right_curly_brace,138,191,119305982
30,right_curly_brace,137,193,119305998
31,right_curly_brace,136,195,119306013
32,right_curly_brace,134,198,119306037
33,right_curly_brace,133,200,119306057
34,right_curly_brace,132,203,119306070
35,right_curly_brace,130,204,119306102
36,right_curly_brace,128,206,119306122
37,right_curly_brace,127,209,119306134
38,right_curly_brace,125,210,119306158
39,right_curly_brace,124,212,119306174
40,right_curly_brace,122,214,119306198
41,right_curly_brace,120,217,119306227
42,right_curly_brace,120,219,119306251
43,right_curly_brace,119,221,119306264
44,right_curly_brace,120,223,119306283
45,right_curly_brace,120,225,119306308
46,right_curly_brace,121,227,119306327
47,right_curly_brace,123,229,119306355
48,right_curly_brace,125,231,119306387
49,right_curly_brace,127,233,119306411
50,right_curly_brace,129,233,119306440
51,right_curly_brace,131,233,119306464
52,right_curly_brace,133,235,119306484
53,right_curly_brace,135,235,119306508
54,right_curly_brace,137,235,119306541
55,right_curly_brace,139,236,119306590
56,right_curly_brace,137,236,119306671
57,right_curly_brace,135,235,119306691
58,right_curly_brace,133,235,119306711
59,right_curly_brace,131,235,119306731
60,right_curly_brace,129,235,119306752
61,right_curly_brace,127,233,119306780
62,right_curly_brace,125,233,119306821
63,right_curly_brace,123,235,119306845
64,right_curly_brace,122,237,119306873
65,right_curly_brace,121,239,119306898
66,right_curly_brace,121,242,119306939
67,right_curly_brace,121,244,119306974
68,right_curly_brace,122,246,119307006
69,right_curly_brace,123,249,119307037
70,right_curly_brace,123,251,119307061
71,right_curly_brace,123,253,119307081
72,right_curly_brace,123,256,119307102
73,right_curly_brace,122,258,119307122
74,right_curly_brace,121,260,119307142
75,right_curly_brace,120,263,119307162
76,right_curly_brace,119,265,119307190
77,right_curly_brace,118,267,119307213
78,right_curly_brace,118,269,119307234
79,right_curly_brace,117,271,119307255
80,right_curly_brace,116,273,119307277
81,right_curly_brace,115,275,119307299
82,right_curly_brace,114,277,119307321
83,right_curly_brace,112,282,119307343
84,right_curly_brace,109,284,119307371
85,right_curly_brace,108,286,119307393
86,right_curly_brace,106,286,119307416
87,right_curly_brace,104,287,119307439
88,right_curly_brace,99,287,119307462
89,right_curly_brace,94,286,119307485
90,right_curly_brace,88,284,119307509
91,right_curly_brace,81,282,119307534
92,right_curly_brace,77,279,119307558
93,right_curly_brace,77,277,119307559
94,right_curly_brace,75,274,119307585
