idx,label,x,y,timestamp
0,right_sq_bracket,95,151,118567374
1,right_sq_bracket,96,149,118567406
2,right_sq_bracket,98,150,118567463
3,right_sq_bracket,100,149,118567494
4,right_sq_bracket,102,148,118567515
5,right_sq_bracket,104,150,118567539
6,right_sq_bracket,106,149,118567559
7,right_sq_bracket,108,149,118567583
8,right_sq_bracket,110,149,118567604
9,right_sq_bracket,112,149,118567624
10,right_sq_bracket,114,149,118567644
11,right_sq_bracket,116,150,118567681
12,right_sq_bracket,118,148,118567705
13,right_sq_bracket,121,148,118567729
14,right_sq_bracket,123,148,118567754
15,right_sq_bracket,125,149,118567782
16,right_sq_bracket,127,149,118567811
17,right_sq_bracket,129,149,118567836
18,right_sq_bracket,131,148,118567856
19,right_sq_bracket,133,147,118567884
20,right_sq_bracket,135,148,118567913
21,right_sq_bracket,137,146,118567941
22,right_sq_bracket,139,147,118568020
23,right_sq_bracket,141,149,118568158
24,right_sq_bracket,141,151,118568186
25,right_sq_bracket,142,153,118568214
26,right_sq_bracket,142,155,118568234
27,right_sq_bracket,142,157,118568250
28,right_sq_bracket,142,159,118568262
29,right_sq_bracket,143,161,118568294
30,right_sq_bracket,143,163,118568305
31,right_sq_bracket,143,165,118568350
32,right_sq_bracket,143,167,118568391
33,right_sq_bracket,143,169,118568420
34,right_sq_bracket,142,171,118568497
35,right_sq_bracket,141,173,118568529
36,right_sq_bracket,140,175,118568582
37,right_sq_bracket,138,176,118568643
38,right_sq_bracket,137,178,118568674
39,right_sq_bracket,136,180,118568711
40,right_sq_bracket,135,182,118568730
41,right_sq_bracket,134,185,118568779
42,right_sq_bracket,133,187,118568811
43,right_sq_bracket,131,189,118568851
44,right_sq_bracket,131,191,118568879
45,right_sq_bracket,129,193,118568916
46,right_sq_bracket,129,196,118568930
47,right_sq_bracket,127,198,118568972
48,right_sq_bracket,127,200,118568992
49,right_sq_bracket,126,202,118569020
50,right_sq_bracket,126,205,118569045
51,right_sq_bracket,125,207,118569078
52,right_sq_bracket,125,209,118569098
53,right_sq_bracket,124,212,118569122
54,right_sq_bracket,124,214,118569154
55,right_sq_bracket,124,217,118569178
56,right_sq_bracket,124,219,118569207
57,right_sq_bracket,123,221,118569231
58,right_sq_bracket,123,223,118569270
59,right_sq_bracket,122,226,118569298
60,right_sq_bracket,121,228,118569335
61,right_sq_bracket,120,230,118569379
62,right_sq_bracket,120,233,118569412
63,right_sq_bracket,120,235,118569440
64,right_sq_bracket,119,237,118569460
65,right_sq_bracket,119,239,118569496
66,right_sq_bracket,119,242,118569532
67,right_sq_bracket,120,244,118569564
68,right_sq_bracket,119,246,118569612
69,right_sq_bracket,119,248,118569644
70,right_sq_bracket,117,250,118569741
71,right_sq_bracket,115,250,118569784
72,right_sq_bracket,113,251,118569832
73,right_sq_bracket,111,251,118569874
74,right_sq_bracket,109,251,118569899
75,right_sq_bracket,107,251,118569926
76,right_sq_bracket,105,250,118569951
77,right_sq_bracket,102,251,118569972
78,right_sq_bracket,100,251,118569993
79,right_sq_bracket,98,250,118570014
80,right_sq_bracket,96,250,118570036
81,right_sq_bracket,93,250,118570058
82,right_sq_bracket,89,249,118570080
83,right_sq_bracket,86,250,118570102
84,right_sq_bracket,84,249,118570103
85,right_sq_bracket,82,249,118570126
86,right_sq_bracket,78,249,118570149
87,right_sq_bracket,74,249,118570172
88,right_sq_bracket,70,251,118570196
89,right_sq_bracket,66,249,118570219
90,right_sq_bracket,64,249,118570243
