idx,label,x,y,timestamp
0,right_sq_bracket,133,156,268250232
1,right_sq_bracket,136,158,268250283
2,right_sq_bracket,138,159,268250291
3,right_sq_bracket,140,158,268250300
4,right_sq_bracket,144,158,268250307
5,right_sq_bracket,148,157,268250316
6,right_sq_bracket,151,157,268250324
7,right_sq_bracket,154,157,268250330
8,right_sq_bracket,158,157,268250337
9,right_sq_bracket,160,157,268250343
10,right_sq_bracket,162,157,268250345
11,right_sq_bracket,165,156,268250351
12,right_sq_bracket,167,155,268250353
13,right_sq_bracket,169,155,268250360
14,right_sq_bracket,172,156,268250368
15,right_sq_bracket,176,156,268250376
16,right_sq_bracket,179,157,268250384
17,right_sq_bracket,182,158,268250393
18,right_sq_bracket,184,159,268250401
19,right_sq_bracket,186,162,268250410
20,right_sq_bracket,187,164,268250421
21,right_sq_bracket,187,167,268250431
22,right_sq_bracket,186,170,268250441
23,right_sq_bracket,184,173,268250451
24,right_sq_bracket,180,180,268250461
25,right_sq_bracket,179,182,268250471
26,right_sq_bracket,177,186,268250473
27,right_sq_bracket,175,193,268250485
28,right_sq_bracket,173,200,268250497
29,right_sq_bracket,171,207,268250511
30,right_sq_bracket,170,214,268250527
31,right_sq_bracket,169,217,268250529
32,right_sq_bracket,169,220,268250542
33,right_sq_bracket,168,226,268250555
34,right_sq_bracket,168,228,268250580
35,right_sq_bracket,166,228,268250620
36,right_sq_bracket,163,227,268250632
37,right_sq_bracket,161,225,268250645
38,right_sq_bracket,156,224,268250657
39,right_sq_bracket,152,223,268250671
40,right_sq_bracket,142,224,268250684
41,right_sq_bracket,136,226,268250698
42,right_sq_bracket,133,227,268250712
43,right_sq_bracket,130,227,268250713
44,right_sq_bracket,128,228,268250727
45,right_sq_bracket,126,229,268250728
46,right_sq_bracket,124,232,268250743
47,right_sq_bracket,124,229,268250769
