idx,label,x,y,timestamp
0,right_sq_bracket,75,138,201856699
1,right_sq_bracket,76,141,201856712
2,right_sq_bracket,78,142,201856720
3,right_sq_bracket,82,142,201856727
4,right_sq_bracket,84,143,201856733
5,right_sq_bracket,86,144,201856739
6,right_sq_bracket,89,144,201856740
7,right_sq_bracket,91,144,201856746
8,right_sq_bracket,97,144,201856753
9,right_sq_bracket,104,142,201856760
10,right_sq_bracket,108,142,201856766
11,right_sq_bracket,112,141,201856768
12,right_sq_bracket,120,138,201856775
13,right_sq_bracket,124,138,201856783
14,right_sq_bracket,128,137,201856784
15,right_sq_bracket,134,135,201856792
16,right_sq_bracket,140,135,201856801
17,right_sq_bracket,143,134,201856809
18,right_sq_bracket,145,135,201856818
19,right_sq_bracket,147,137,201856831
20,right_sq_bracket,146,141,201856840
21,right_sq_bracket,145,144,201856849
22,right_sq_bracket,144,150,201856858
23,right_sq_bracket,142,160,201856868
24,right_sq_bracket,142,168,201856878
25,right_sq_bracket,141,180,201856888
26,right_sq_bracket,141,188,201856898
27,right_sq_bracket,140,201,201856908
28,right_sq_bracket,140,213,201856919
29,right_sq_bracket,140,220,201856930
30,right_sq_bracket,141,222,201856931
31,right_sq_bracket,141,228,201856944
32,right_sq_bracket,142,234,201856955
33,right_sq_bracket,141,238,201856967
34,right_sq_bracket,139,245,201856980
35,right_sq_bracket,138,249,201856992
36,right_sq_bracket,133,252,201857004
37,right_sq_bracket,131,254,201857016
38,right_sq_bracket,125,253,201857029
39,right_sq_bracket,119,253,201857042
40,right_sq_bracket,107,248,201857055
41,right_sq_bracket,95,245,201857069
42,right_sq_bracket,84,243,201857082
43,right_sq_bracket,81,243,201857083
44,right_sq_bracket,77,244,201857098
45,right_sq_bracket,74,243,201857111
