idx,label,x,y,timestamp
0,right_sq_bracket,79,149,118535973
1,right_sq_bracket,81,150,118536113
2,right_sq_bracket,83,150,118536145
3,right_sq_bracket,85,151,118536182
4,right_sq_bracket,87,150,118536210
5,right_sq_bracket,89,149,118536246
6,right_sq_bracket,91,151,118536282
7,right_sq_bracket,93,151,118536319
8,right_sq_bracket,96,150,118536355
9,right_sq_bracket,98,150,118536387
10,right_sq_bracket,100,150,118536423
11,right_sq_bracket,102,150,118536455
12,right_sq_bracket,104,151,118536487
13,right_sq_bracket,107,150,118536520
14,right_sq_bracket,109,149,118536549
15,right_sq_bracket,111,150,118536569
16,right_sq_bracket,113,149,118536598
17,right_sq_bracket,115,149,118536627
18,right_sq_bracket,117,149,118536647
19,right_sq_bracket,120,150,118536679
20,right_sq_bracket,122,149,118536700
21,right_sq_bracket,124,149,118536728
22,right_sq_bracket,126,150,118536763
23,right_sq_bracket,128,149,118536795
24,right_sq_bracket,130,149,118536824
25,right_sq_bracket,132,150,118536864
26,right_sq_bracket,134,150,118536900
27,right_sq_bracket,136,150,118536928
28,right_sq_bracket,138,149,118536956
29,right_sq_bracket,140,152,118537173
30,right_sq_bracket,140,154,118537311
31,right_sq_bracket,140,156,118537335
32,right_sq_bracket,140,158,118537372
33,right_sq_bracket,140,160,118537400
34,right_sq_bracket,140,162,118537428
35,right_sq_bracket,141,165,118537462
36,right_sq_bracket,140,167,118537498
37,right_sq_bracket,140,169,118537519
38,right_sq_bracket,139,171,118537562
39,right_sq_bracket,138,173,118537598
40,right_sq_bracket,138,175,118537633
41,right_sq_bracket,137,177,118537657
42,right_sq_bracket,136,179,118537673
43,right_sq_bracket,135,182,118537717
44,right_sq_bracket,135,184,118537749
45,right_sq_bracket,134,186,118537818
46,right_sq_bracket,134,188,118537850
47,right_sq_bracket,133,190,118537902
48,right_sq_bracket,133,193,118537922
49,right_sq_bracket,132,195,118537943
50,right_sq_bracket,132,197,118537974
51,right_sq_bracket,132,199,118538022
52,right_sq_bracket,132,201,118538047
53,right_sq_bracket,132,203,118538067
54,right_sq_bracket,132,206,118538100
55,right_sq_bracket,131,208,118538129
56,right_sq_bracket,131,210,118538153
57,right_sq_bracket,132,212,118538177
58,right_sq_bracket,132,214,118538210
59,right_sq_bracket,132,217,118538227
60,right_sq_bracket,131,219,118538258
61,right_sq_bracket,131,221,118538275
62,right_sq_bracket,131,224,118538310
63,right_sq_bracket,131,226,118538346
64,right_sq_bracket,131,228,118538370
65,right_sq_bracket,131,230,118538395
66,right_sq_bracket,131,232,118538413
67,right_sq_bracket,132,234,118538447
68,right_sq_bracket,132,236,118538466
69,right_sq_bracket,132,239,118538491
70,right_sq_bracket,133,241,118538532
71,right_sq_bracket,133,243,118538568
72,right_sq_bracket,133,245,118538600
73,right_sq_bracket,133,247,118538702
74,right_sq_bracket,131,247,118538863
75,right_sq_bracket,129,247,118538900
76,right_sq_bracket,127,246,118538929
77,right_sq_bracket,125,246,118538961
78,right_sq_bracket,123,246,118538992
79,right_sq_bracket,121,246,118539025
80,right_sq_bracket,119,246,118539049
81,right_sq_bracket,117,246,118539084
82,right_sq_bracket,115,246,118539105
83,right_sq_bracket,113,246,118539141
84,right_sq_bracket,111,246,118539173
85,right_sq_bracket,109,245,118539205
86,right_sq_bracket,107,245,118539229
87,right_sq_bracket,104,245,118539261
88,right_sq_bracket,102,244,118539289
89,right_sq_bracket,100,244,118539312
90,right_sq_bracket,98,244,118539334
91,right_sq_bracket,96,244,118539357
92,right_sq_bracket,94,245,118539382
93,right_sq_bracket,92,245,118539413
94,right_sq_bracket,90,245,118539437
95,right_sq_bracket,88,245,118539466
96,right_sq_bracket,86,245,118539505
97,right_sq_bracket,84,246,118539545
