idx,label,x,y,timestamp
0,right_sq_bracket,99,147,122864766
1,right_sq_bracket,101,149,122864799
2,right_sq_bracket,103,149,122864815
3,right_sq_bracket,105,148,122864828
4,right_sq_bracket,108,149,122864840
5,right_sq_bracket,110,149,122864849
6,right_sq_bracket,112,149,122864857
7,right_sq_bracket,115,149,122864865
8,right_sq_bracket,118,148,122864873
9,right_sq_bracket,121,148,122864881
10,right_sq_bracket,124,148,122864889
11,right_sq_bracket,127,148,122864897
12,right_sq_bracket,129,148,122864905
13,right_sq_bracket,132,147,122864914
14,right_sq_bracket,134,147,122864922
15,right_sq_bracket,136,146,122864930
16,right_sq_bracket,138,147,122864939
17,right_sq_bracket,141,145,122864950
18,right_sq_bracket,143,145,122864962
19,right_sq_bracket,146,145,122864974
20,right_sq_bracket,148,145,122864990
21,right_sq_bracket,149,147,122865014
22,right_sq_bracket,151,146,122865053
23,right_sq_bracket,152,149,122865101
24,right_sq_bracket,152,151,122865142
25,right_sq_bracket,152,153,122865166
26,right_sq_bracket,152,156,122865176
27,right_sq_bracket,152,158,122865190
28,right_sq_bracket,152,160,122865201
29,right_sq_bracket,152,164,122865211
30,right_sq_bracket,151,170,122865223
31,right_sq_bracket,151,173,122865234
32,right_sq_bracket,151,175,122865245
33,right_sq_bracket,151,178,122865246
34,right_sq_bracket,151,183,122865259
35,right_sq_bracket,150,186,122865271
36,right_sq_bracket,150,191,122865283
37,right_sq_bracket,150,197,122865299
38,right_sq_bracket,150,202,122865311
39,right_sq_bracket,150,206,122865324
40,right_sq_bracket,151,212,122865338
41,right_sq_bracket,151,217,122865351
42,right_sq_bracket,151,220,122865365
43,right_sq_bracket,152,226,122865379
44,right_sq_bracket,152,228,122865393
45,right_sq_bracket,153,234,122865407
46,right_sq_bracket,153,239,122865422
47,right_sq_bracket,154,241,122865437
48,right_sq_bracket,155,243,122865452
49,right_sq_bracket,155,247,122865467
50,right_sq_bracket,156,249,122865486
51,right_sq_bracket,156,252,122865501
52,right_sq_bracket,156,254,122865569
53,right_sq_bracket,154,255,122865659
54,right_sq_bracket,152,256,122865680
55,right_sq_bracket,150,256,122865696
56,right_sq_bracket,148,256,122865713
57,right_sq_bracket,143,256,122865729
58,right_sq_bracket,138,254,122865747
59,right_sq_bracket,132,255,122865764
60,right_sq_bracket,124,254,122865782
61,right_sq_bracket,116,255,122865800
62,right_sq_bracket,109,255,122865819
63,right_sq_bracket,102,255,122865837
64,right_sq_bracket,94,256,122865856
65,right_sq_bracket,90,256,122865875
66,right_sq_bracket,88,258,122865896
67,right_sq_bracket,85,256,122865915
68,right_sq_bracket,85,254,122865964
