idx,label,x,y,timestamp
0,right_sq_bracket,106,148,125330881
1,right_sq_bracket,108,147,125330988
2,right_sq_bracket,110,148,125331005
3,right_sq_bracket,113,149,125331017
4,right_sq_bracket,115,148,125331029
5,right_sq_bracket,118,150,125331042
6,right_sq_bracket,120,150,125331054
7,right_sq_bracket,123,150,125331066
8,right_sq_bracket,125,151,125331074
9,right_sq_bracket,128,152,125331082
10,right_sq_bracket,130,152,125331090
11,right_sq_bracket,133,151,125331098
12,right_sq_bracket,137,151,125331107
13,right_sq_bracket,140,151,125331114
14,right_sq_bracket,143,152,125331123
15,right_sq_bracket,145,152,125331131
16,right_sq_bracket,149,151,125331140
17,right_sq_bracket,152,150,125331148
18,right_sq_bracket,156,149,125331157
19,right_sq_bracket,159,149,125331166
20,right_sq_bracket,162,149,125331167
21,right_sq_bracket,165,149,125331176
22,right_sq_bracket,167,149,125331186
23,right_sq_bracket,169,148,125331196
24,right_sq_bracket,171,149,125331206
25,right_sq_bracket,174,149,125331217
26,right_sq_bracket,176,149,125331228
27,right_sq_bracket,178,148,125331238
28,right_sq_bracket,180,149,125331251
29,right_sq_bracket,182,151,125331279
30,right_sq_bracket,183,153,125331303
31,right_sq_bracket,184,155,125331319
32,right_sq_bracket,184,158,125331335
33,right_sq_bracket,185,160,125331347
34,right_sq_bracket,185,162,125331359
35,right_sq_bracket,185,168,125331372
36,right_sq_bracket,185,170,125331384
37,right_sq_bracket,186,176,125331397
38,right_sq_bracket,186,181,125331410
39,right_sq_bracket,186,186,125331423
40,right_sq_bracket,186,191,125331436
41,right_sq_bracket,186,199,125331452
42,right_sq_bracket,185,204,125331466
43,right_sq_bracket,184,211,125331480
44,right_sq_bracket,184,217,125331494
45,right_sq_bracket,183,224,125331509
46,right_sq_bracket,181,230,125331524
47,right_sq_bracket,181,233,125331538
48,right_sq_bracket,181,235,125331539
49,right_sq_bracket,180,237,125331554
50,right_sq_bracket,180,240,125331570
51,right_sq_bracket,180,242,125331585
52,right_sq_bracket,180,245,125331601
53,right_sq_bracket,181,247,125331617
54,right_sq_bracket,181,249,125331635
55,right_sq_bracket,179,249,125331671
56,right_sq_bracket,176,251,125331688
57,right_sq_bracket,171,251,125331705
58,right_sq_bracket,162,253,125331722
59,right_sq_bracket,160,253,125331723
60,right_sq_bracket,152,251,125331741
61,right_sq_bracket,140,253,125331759
62,right_sq_bracket,131,253,125331778
63,right_sq_bracket,129,252,125331779
64,right_sq_bracket,119,253,125331798
65,right_sq_bracket,108,254,125331817
66,right_sq_bracket,96,254,125331836
67,right_sq_bracket,85,254,125331856
68,right_sq_bracket,76,256,125331876
69,right_sq_bracket,69,258,125331895
70,right_sq_bracket,65,259,125331914
71,right_sq_bracket,63,260,125331915
72,right_sq_bracket,60,260,125331934
73,right_sq_bracket,58,261,125331954
