idx,label,x,y,timestamp
0,right_sq_bracket,104,159,118622871
1,right_sq_bracket,107,159,118622891
2,right_sq_bracket,109,158,118622900
3,right_sq_bracket,112,158,118622908
4,right_sq_bracket,115,157,118622916
5,right_sq_bracket,119,157,118622925
6,right_sq_bracket,121,157,118622931
7,right_sq_bracket,125,157,118622937
8,right_sq_bracket,127,157,118622944
9,right_sq_bracket,131,157,118622951
10,right_sq_bracket,135,157,118622958
11,right_sq_bracket,138,157,118622965
12,right_sq_bracket,142,158,118622973
13,right_sq_bracket,145,158,118622982
14,right_sq_bracket,148,158,118622989
15,right_sq_bracket,150,159,118622997
16,right_sq_bracket,152,159,118623008
17,right_sq_bracket,155,160,118623025
18,right_sq_bracket,154,162,118623102
19,right_sq_bracket,153,164,118623142
20,right_sq_bracket,152,167,118623179
21,right_sq_bracket,150,169,118623203
22,right_sq_bracket,149,171,118623212
23,right_sq_bracket,147,173,118623222
24,right_sq_bracket,146,175,118623232
25,right_sq_bracket,144,178,118623242
26,right_sq_bracket,142,180,118623252
27,right_sq_bracket,140,183,118623262
28,right_sq_bracket,138,186,118623264
29,right_sq_bracket,137,188,118623274
30,right_sq_bracket,134,192,118623275
31,right_sq_bracket,132,196,118623287
32,right_sq_bracket,132,198,118623288
33,right_sq_bracket,130,201,118623299
34,right_sq_bracket,127,207,118623312
35,right_sq_bracket,126,209,118623324
36,right_sq_bracket,126,213,118623336
37,right_sq_bracket,126,215,118623349
38,right_sq_bracket,126,217,118623362
39,right_sq_bracket,126,219,118623374
40,right_sq_bracket,128,221,118623388
41,right_sq_bracket,128,224,118623403
42,right_sq_bracket,128,226,118623419
43,right_sq_bracket,126,229,118623435
44,right_sq_bracket,124,231,118623450
45,right_sq_bracket,122,233,118623466
46,right_sq_bracket,120,235,118623480
47,right_sq_bracket,118,236,118623495
48,right_sq_bracket,116,237,118623510
49,right_sq_bracket,113,238,118623525
50,right_sq_bracket,109,238,118623541
51,right_sq_bracket,104,237,118623557
52,right_sq_bracket,98,237,118623572
53,right_sq_bracket,89,239,118623589
54,right_sq_bracket,81,240,118623605
55,right_sq_bracket,76,240,118623621
56,right_sq_bracket,72,241,118623623
57,right_sq_bracket,66,241,118623639
58,right_sq_bracket,59,242,118623656
59,right_sq_bracket,53,242,118623674
60,right_sq_bracket,49,241,118623692
61,right_sq_bracket,44,242,118623709
