idx,label,x,y,timestamp
0,star,76,266,87860543
1,star,77,264,87860567
2,star,78,261,87860611
3,star,79,259,87860638
4,star,79,257,87860651
5,star,80,254,87860666
6,star,81,251,87860675
7,star,81,249,87860683
8,star,82,246,87860691
9,star,83,244,87860707
10,star,83,241,87860715
11,star,84,238,87860727
12,star,85,236,87860735
13,star,85,233,87860744
14,star,86,231,87860751
15,star,87,228,87860759
16,star,88,226,87860767
17,star,88,224,87860775
18,star,89,221,87860784
19,star,90,216,87860793
20,star,91,213,87860802
21,star,92,210,87860811
22,star,93,208,87860812
23,star,94,206,87860821
24,star,94,203,87860831
25,star,95,201,87860841
26,star,96,197,87860851
27,star,97,195,87860862
28,star,97,192,87860872
29,star,98,190,87860883
30,star,99,188,87860894
31,star,100,182,87860905
32,star,101,180,87860917
33,star,102,178,87860928
34,star,104,172,87860940
35,star,105,170,87860952
36,star,106,167,87860965
37,star,107,163,87860978
38,star,108,160,87860990
39,star,110,156,87861003
40,star,111,154,87861019
41,star,111,151,87861032
42,star,112,149,87861046
43,star,112,147,87861060
44,star,113,145,87861074
45,star,113,142,87861088
46,star,114,140,87861102
47,star,114,138,87861116
48,star,115,136,87861131
49,star,115,134,87861146
50,star,116,132,87861161
51,star,118,130,87861180
52,star,118,128,87861196
53,star,119,125,87861229
54,star,120,123,87861262
55,star,122,123,87861404
56,star,124,124,87861440
57,star,124,126,87861457
58,star,125,128,87861473
59,star,126,133,87861491
60,star,127,137,87861508
61,star,128,140,87861526
62,star,130,147,87861546
63,star,131,152,87861565
64,star,133,156,87861583
65,star,134,162,87861601
66,star,135,167,87861620
67,star,136,172,87861639
68,star,137,176,87861659
69,star,139,181,87861678
70,star,140,185,87861698
71,star,142,189,87861718
72,star,144,194,87861737
73,star,146,200,87861759
74,star,148,205,87861779
75,star,150,210,87861799
76,star,152,214,87861821
77,star,153,219,87861842
78,star,155,223,87861863
79,star,156,226,87861884
80,star,158,230,87861906
81,star,159,233,87861928
82,star,160,235,87861950
83,star,162,240,87861972
84,star,164,242,87862001
85,star,165,244,87862023
86,star,166,246,87862046
87,star,166,248,87862069
88,star,167,250,87862098
89,star,168,252,87862137
90,star,169,255,87862194
91,star,170,257,87862222
92,star,172,258,87862284
93,star,173,261,87862313
94,star,171,261,87862451
95,star,167,259,87862476
96,star,161,257,87862500
97,star,157,255,87862526
98,star,152,253,87862553
99,star,147,250,87862578
100,star,144,248,87862580
101,star,140,245,87862605
102,star,136,241,87862632
103,star,131,239,87862658
104,star,129,237,87862659
105,star,125,232,87862686
106,star,120,228,87862713
107,star,115,223,87862741
108,star,109,217,87862769
109,star,103,213,87862797
110,star,99,210,87862824
111,star,92,204,87862853
112,star,87,202,87862881
113,star,79,197,87862910
114,star,75,193,87862939
115,star,68,187,87862969
116,star,63,183,87862998
117,star,58,178,87863028
118,star,53,175,87863058
119,star,51,173,87863088
120,star,47,170,87863118
121,star,43,168,87863148
122,star,41,167,87863178
123,star,39,166,87863208
124,star,37,165,87863238
125,star,35,163,87863268
126,star,34,161,87863392
127,star,36,162,87863423
128,star,43,161,87863455
129,star,53,163,87863487
130,star,65,164,87863519
131,star,68,163,87863520
132,star,79,162,87863553
133,star,88,163,87863587
134,star,98,163,87863622
135,star,112,164,87863656
136,star,121,164,87863691
137,star,131,163,87863725
138,star,141,162,87863760
139,star,152,163,87863794
140,star,163,163,87863837
141,star,170,162,87863872
142,star,178,163,87863907
143,star,184,163,87863942
144,star,188,164,87863977
145,star,195,165,87864012
146,star,199,166,87864051
147,star,201,166,87864092
148,star,198,167,87864213
149,star,196,168,87864249
150,star,192,171,87864285
151,star,185,175,87864322
152,star,176,180,87864360
153,star,166,187,87864397
154,star,154,197,87864435
155,star,146,203,87864473
156,star,144,205,87864474
157,star,136,213,87864512
158,star,129,218,87864551
159,star,125,221,87864589
160,star,120,226,87864627
161,star,115,233,87864666
162,star,109,237,87864705
163,star,104,243,87864747
164,star,101,247,87864786
165,star,99,249,87864825
166,star,96,253,87864864
167,star,94,257,87864904
