idx,label,x,y,timestamp
0,star,63,267,252498330
1,star,65,265,252498407
2,star,66,262,252498427
3,star,68,260,252498450
4,star,69,258,252498458
5,star,71,255,252498466
6,star,72,252,252498474
7,star,73,250,252498482
8,star,75,248,252498490
9,star,76,245,252498498
10,star,78,242,252498506
11,star,80,238,252498514
12,star,82,234,252498522
13,star,83,231,252498531
14,star,85,229,252498538
15,star,86,226,252498546
16,star,87,223,252498554
17,star,89,219,252498563
18,star,91,215,252498571
19,star,92,213,252498580
20,star,94,208,252498589
21,star,96,204,252498598
22,star,98,198,252498608
23,star,99,196,252498617
24,star,101,194,252498627
25,star,102,189,252498637
26,star,105,183,252498648
27,star,106,180,252498658
28,star,107,178,252498669
29,star,109,173,252498680
30,star,110,171,252498691
31,star,111,169,252498702
32,star,111,166,252498715
33,star,112,164,252498726
34,star,113,162,252498754
35,star,115,163,252498899
36,star,117,165,252498915
37,star,119,167,252498930
38,star,120,169,252498943
39,star,122,171,252498956
40,star,123,174,252498969
41,star,125,177,252498970
42,star,125,180,252498984
43,star,127,185,252498998
44,star,129,190,252499012
45,star,129,193,252499026
46,star,131,198,252499041
47,star,132,200,252499056
48,star,133,206,252499071
49,star,134,209,252499086
50,star,135,211,252499102
51,star,136,214,252499118
52,star,138,219,252499135
53,star,139,223,252499156
54,star,141,228,252499178
55,star,143,235,252499199
56,star,144,238,252499217
57,star,145,243,252499235
58,star,147,247,252499253
59,star,147,250,252499271
60,star,149,255,252499288
61,star,149,257,252499306
62,star,150,259,252499307
63,star,150,261,252499325
64,star,151,264,252499345
65,star,152,267,252499364
66,star,154,269,252499394
67,star,154,271,252499413
68,star,155,273,252499455
69,star,154,271,252499596
70,star,152,270,252499616
71,star,149,268,252499636
72,star,145,266,252499655
73,star,140,263,252499676
74,star,134,258,252499697
75,star,129,257,252499717
76,star,123,253,252499738
77,star,119,251,252499759
78,star,114,248,252499781
79,star,108,244,252499802
80,star,102,240,252499824
81,star,98,237,252499846
82,star,91,233,252499868
83,star,84,228,252499891
84,star,78,225,252499914
85,star,71,222,252499939
86,star,63,220,252499963
87,star,56,218,252499987
88,star,49,217,252500011
89,star,45,217,252500034
90,star,41,213,252500058
91,star,38,212,252500081
92,star,38,210,252500153
93,star,40,211,252500226
94,star,40,208,252500250
95,star,44,208,252500275
96,star,51,206,252500301
97,star,63,206,252500326
98,star,73,205,252500352
99,star,83,206,252500378
100,star,94,206,252500404
101,star,106,205,252500432
102,star,118,206,252500459
103,star,127,206,252500486
104,star,137,204,252500512
105,star,148,205,252500540
106,star,156,205,252500568
107,star,165,205,252500597
108,star,172,204,252500626
109,star,174,204,252500627
110,star,181,204,252500656
111,star,189,204,252500686
112,star,194,206,252500716
113,star,196,204,252500745
114,star,194,206,252500869
115,star,190,207,252500898
116,star,184,209,252500928
117,star,176,211,252500958
118,star,166,216,252500988
119,star,154,221,252501018
120,star,144,224,252501049
121,star,141,226,252501050
122,star,129,232,252501081
123,star,120,236,252501113
124,star,117,238,252501114
125,star,106,243,252501146
126,star,97,246,252501180
127,star,88,250,252501212
128,star,82,254,252501245
129,star,73,259,252501281
130,star,67,263,252501314
131,star,63,266,252501348
132,star,58,267,252501386
133,star,56,268,252501420
134,star,55,271,252501471
