idx,label,x,y,timestamp
0,star,105,238,267832690
1,star,107,238,267832726
2,star,109,235,267832734
3,star,110,232,267832739
4,star,112,229,267832745
5,star,112,225,267832746
6,star,114,222,267832752
7,star,116,214,267832759
8,star,117,211,267832765
9,star,119,202,267832772
10,star,121,192,267832779
11,star,123,187,267832785
12,star,124,182,267832787
13,star,126,172,267832794
14,star,127,166,267832802
15,star,128,160,267832803
16,star,130,152,267832811
17,star,131,146,267832819
18,star,132,144,267832828
19,star,134,142,267832838
20,star,136,141,267832847
21,star,139,148,267832857
22,star,142,161,267832866
23,star,145,173,267832876
24,star,149,191,267832886
25,star,151,203,267832896
26,star,155,219,267832907
27,star,157,225,267832918
28,star,157,228,267832919
29,star,158,232,267832930
30,star,159,235,267832960
31,star,157,235,267832972
32,star,153,226,267832984
33,star,146,216,267832996
34,star,138,202,267833008
35,star,127,189,267833021
36,star,116,181,267833033
37,star,113,179,267833034
38,star,104,176,267833048
39,star,100,177,267833061
40,star,95,179,267833075
41,star,97,179,267833106
42,star,105,175,267833120
43,star,121,167,267833134
44,star,135,160,267833149
45,star,153,151,267833163
46,star,169,145,267833179
47,star,177,140,267833194
48,star,179,140,267833195
49,star,182,139,267833210
50,star,185,138,267833225
51,star,180,147,267833241
52,star,170,159,267833257
53,star,155,175,267833273
54,star,151,179,267833275
55,star,134,197,267833291
56,star,119,219,267833311
57,star,111,231,267833329
58,star,107,235,267833346
