idx,label,x,y,timestamp
0,star,84,232,125070232
1,star,85,229,125070276
2,star,86,227,125070288
3,star,87,224,125070297
4,star,89,220,125070304
5,star,89,218,125070310
6,star,90,215,125070316
7,star,91,213,125070323
8,star,92,207,125070329
9,star,94,202,125070336
10,star,94,199,125070343
11,star,95,195,125070344
12,star,96,193,125070352
13,star,97,189,125070353
14,star,98,183,125070361
15,star,100,176,125070369
16,star,101,169,125070377
17,star,103,163,125070386
18,star,105,158,125070395
19,star,106,154,125070396
20,star,107,149,125070405
21,star,109,144,125070415
22,star,110,142,125070416
23,star,111,138,125070426
24,star,113,133,125070436
25,star,114,130,125070447
26,star,115,127,125070457
27,star,116,125,125070468
28,star,118,125,125070496
29,star,120,127,125070508
30,star,122,129,125070519
31,star,122,131,125070520
32,star,124,135,125070532
33,star,127,141,125070544
34,star,128,143,125070545
35,star,130,149,125070557
36,star,133,158,125070570
37,star,137,164,125070583
38,star,141,175,125070596
39,star,144,179,125070609
40,star,150,188,125070623
41,star,154,193,125070637
42,star,159,199,125070651
43,star,161,204,125070664
44,star,163,207,125070678
45,star,163,209,125070693
46,star,163,211,125070710
47,star,161,213,125070725
48,star,156,214,125070740
49,star,154,213,125070756
50,star,151,213,125070757
51,star,145,211,125070772
52,star,138,205,125070788
53,star,130,200,125070805
54,star,125,195,125070822
55,star,116,187,125070838
56,star,108,181,125070855
57,star,106,179,125070856
58,star,98,174,125070874
59,star,88,168,125070893
60,star,79,165,125070911
61,star,69,163,125070929
62,star,62,164,125070947
63,star,57,164,125070966
64,star,53,165,125070984
65,star,53,167,125071020
66,star,56,169,125071039
67,star,68,170,125071059
68,star,82,171,125071079
69,star,85,170,125071080
70,star,101,169,125071101
71,star,119,167,125071122
72,star,137,164,125071144
73,star,141,163,125071145
74,star,158,160,125071167
75,star,177,158,125071189
76,star,190,155,125071211
77,star,198,155,125071233
78,star,203,155,125071254
79,star,205,158,125071276
80,star,202,161,125071298
81,star,196,166,125071320
82,star,193,167,125071321
83,star,185,172,125071343
84,star,182,175,125071345
85,star,170,180,125071368
86,star,162,184,125071392
87,star,159,185,125071393
88,star,149,191,125071417
89,star,138,199,125071441
90,star,128,205,125071465
91,star,120,211,125071490
92,star,114,216,125071515
93,star,109,219,125071539
94,star,107,221,125071564
