idx,label,x,y,timestamp
0,star,81,248,202715846
1,star,82,244,202715854
2,star,83,241,202715859
3,star,84,238,202715864
4,star,85,235,202715870
5,star,87,231,202715871
6,star,89,227,202715877
7,star,94,219,202715883
8,star,96,215,202715889
9,star,99,210,202715890
10,star,101,206,202715897
11,star,104,200,202715898
12,star,106,195,202715906
13,star,109,189,202715907
14,star,115,179,202715915
15,star,120,169,202715923
16,star,126,160,202715931
17,star,130,151,202715940
18,star,134,146,202715949
19,star,136,143,202715950
20,star,139,141,202715960
21,star,141,140,202715970
22,star,143,142,202715983
23,star,143,146,202715992
24,star,143,150,202716002
25,star,143,154,202716003
26,star,142,163,202716013
27,star,140,180,202716024
28,star,138,192,202716035
29,star,138,198,202716036
30,star,137,210,202716047
31,star,136,216,202716048
32,star,136,232,202716060
33,star,137,242,202716072
34,star,137,248,202716084
35,star,138,251,202716096
36,star,138,248,202716127
37,star,135,240,202716140
38,star,130,229,202716154
39,star,128,225,202716155
40,star,119,211,202716169
41,star,108,201,202716182
42,star,104,196,202716183
43,star,91,188,202716198
44,star,77,180,202716212
45,star,66,175,202716227
46,star,62,175,202716242
47,star,59,175,202716256
48,star,58,178,202716270
49,star,61,180,202716271
50,star,71,184,202716287
51,star,82,184,202716303
52,star,87,184,202716304
53,star,106,182,202716320
54,star,126,175,202716336
55,star,144,166,202716353
56,star,157,155,202716370
57,star,166,149,202716386
58,star,168,148,202716403
59,star,163,157,202716420
60,star,153,170,202716438
61,star,150,173,202716439
62,star,134,191,202716458
63,star,110,214,202716477
64,star,90,231,202716496
65,star,79,240,202716515
