idx,label,x,y,timestamp
0,star,68,237,202713336
1,star,68,235,202713341
2,star,69,232,202713347
3,star,71,226,202713352
4,star,72,223,202713358
5,star,74,220,202713364
6,star,76,215,202713365
7,star,78,211,202713371
8,star,80,207,202713372
9,star,83,202,202713379
10,star,85,197,202713380
11,star,88,191,202713387
12,star,90,186,202713388
13,star,96,176,202713396
14,star,102,165,202713404
15,star,109,155,202713412
16,star,115,146,202713421
17,star,121,140,202713429
18,star,125,136,202713438
19,star,127,135,202713446
20,star,130,134,202713455
21,star,132,135,202713464
22,star,135,141,202713473
23,star,135,147,202713483
24,star,135,161,202713493
25,star,135,171,202713503
26,star,134,189,202713513
27,star,133,207,202713524
28,star,133,218,202713535
29,star,132,229,202713546
30,star,132,235,202713557
31,star,132,238,202713568
32,star,131,241,202713569
33,star,129,241,202713580
34,star,127,239,202713592
35,star,119,232,202713604
36,star,110,224,202713617
37,star,100,212,202713629
38,star,87,200,202713643
39,star,75,188,202713656
40,star,70,184,202713657
41,star,59,174,202713671
42,star,56,170,202713672
43,star,51,166,202713687
44,star,48,163,202713701
45,star,51,164,202713724
46,star,59,165,202713739
47,star,63,165,202713740
48,star,76,163,202713756
49,star,81,162,202713757
50,star,104,159,202713773
51,star,127,154,202713789
52,star,146,148,202713805
53,star,154,143,202713822
54,star,157,142,202713840
55,star,153,151,202713857
56,star,142,164,202713874
57,star,124,185,202713892
58,star,108,203,202713910
59,star,68,244,202713962
