idx,label,x,y,timestamp
0,star,65,264,87897291
1,star,66,261,87897335
2,star,66,259,87897343
3,star,67,256,87897356
4,star,68,254,87897363
5,star,69,251,87897372
6,star,70,247,87897381
7,star,72,243,87897389
8,star,72,241,87897396
9,star,74,236,87897402
10,star,76,231,87897409
11,star,77,228,87897416
12,star,79,224,87897424
13,star,80,218,87897431
14,star,82,214,87897439
15,star,84,208,87897446
16,star,85,203,87897455
17,star,87,197,87897463
18,star,88,192,87897472
19,star,90,188,87897481
20,star,91,185,87897482
21,star,92,181,87897491
22,star,93,179,87897500
23,star,94,175,87897502
24,star,96,171,87897511
25,star,97,167,87897521
26,star,99,160,87897532
27,star,102,155,87897542
28,star,103,153,87897553
29,star,104,149,87897554
30,star,106,147,87897565
31,star,107,142,87897577
32,star,109,139,87897588
33,star,110,137,87897600
34,star,111,134,87897611
35,star,112,132,87897625
36,star,114,129,87897652
37,star,116,128,87897709
38,star,118,131,87897726
39,star,119,133,87897739
40,star,120,135,87897752
41,star,123,141,87897765
42,star,127,150,87897779
43,star,129,160,87897794
44,star,130,163,87897795
45,star,133,173,87897809
46,star,135,176,87897810
47,star,138,187,87897825
48,star,139,190,87897826
49,star,142,203,87897842
50,star,145,213,87897858
51,star,145,215,87897859
52,star,148,226,87897875
53,star,149,231,87897891
54,star,152,240,87897907
55,star,154,245,87897924
56,star,155,250,87897944
57,star,157,253,87897960
58,star,159,257,87897977
59,star,160,259,87897994
60,star,162,261,87898018
61,star,162,263,87898042
62,star,160,261,87898139
63,star,158,261,87898157
64,star,153,254,87898176
65,star,148,250,87898194
66,star,143,246,87898213
67,star,135,238,87898232
68,star,128,232,87898252
69,star,119,227,87898271
70,star,111,221,87898292
71,star,102,216,87898311
72,star,97,210,87898332
73,star,87,203,87898355
74,star,79,195,87898376
75,star,74,192,87898396
76,star,66,184,87898417
77,star,61,179,87898438
78,star,59,177,87898439
79,star,56,173,87898461
80,star,51,168,87898483
81,star,47,164,87898505
82,star,43,162,87898527
83,star,41,163,87898549
84,star,39,161,87898571
85,star,42,163,87898630
86,star,44,162,87898653
87,star,52,162,87898676
88,star,60,163,87898699
89,star,71,162,87898723
90,star,82,161,87898747
91,star,93,159,87898772
92,star,106,160,87898797
93,star,118,160,87898823
94,star,132,162,87898850
95,star,142,163,87898876
96,star,152,163,87898901
97,star,155,163,87898902
98,star,165,161,87898928
99,star,176,161,87898954
100,star,183,162,87898980
101,star,190,163,87899007
102,star,192,162,87899033
103,star,194,164,87899059
104,star,194,166,87899140
105,star,189,168,87899167
106,star,182,171,87899194
107,star,170,179,87899222
108,star,160,187,87899250
109,star,149,196,87899278
110,star,142,202,87899307
111,star,132,211,87899336
112,star,123,218,87899367
113,star,115,224,87899396
114,star,109,230,87899425
115,star,100,238,87899463
116,star,96,241,87899492
117,star,92,246,87899521
118,star,89,249,87899551
119,star,85,252,87899581
120,star,84,254,87899610
121,star,82,256,87899640
