idx,label,x,y,timestamp
0,star,61,253,252551781
1,star,63,250,252551806
2,star,65,246,252551814
3,star,67,243,252551822
4,star,70,239,252551830
5,star,71,236,252551836
6,star,72,233,252551842
7,star,74,229,252551843
8,star,75,226,252551849
9,star,78,219,252551856
10,star,80,210,252551863
11,star,81,207,252551870
12,star,83,201,252551871
13,star,85,191,252551878
14,star,87,181,252551886
15,star,89,176,252551894
16,star,90,171,252551895
17,star,92,162,252551903
18,star,95,154,252551912
19,star,98,148,252551921
20,star,99,145,252551930
21,star,102,142,252551931
22,star,105,140,252551941
23,star,107,141,252551950
24,star,112,146,252551960
25,star,118,157,252551970
26,star,123,167,252551981
27,star,130,187,252551991
28,star,135,207,252552003
29,star,138,220,252552014
30,star,139,225,252552015
31,star,142,240,252552027
32,star,145,251,252552039
33,star,147,257,252552051
34,star,149,264,252552063
35,star,149,266,252552075
36,star,147,264,252552094
37,star,143,262,252552107
38,star,134,255,252552120
39,star,125,250,252552134
40,star,121,248,252552135
41,star,108,240,252552149
42,star,88,228,252552163
43,star,73,216,252552177
44,star,67,212,252552178
45,star,53,202,252552193
46,star,49,199,252552194
47,star,40,190,252552209
48,star,37,188,252552210
49,star,32,183,252552226
50,star,30,181,252552241
51,star,35,178,252552257
52,star,49,179,252552273
53,star,54,180,252552274
54,star,78,185,252552291
55,star,110,193,252552311
56,star,133,196,252552328
57,star,153,198,252552345
58,star,157,198,252552346
59,star,170,200,252552364
60,star,177,200,252552382
61,star,173,202,252552411
62,star,160,209,252552429
63,star,133,218,252552448
64,star,102,228,252552468
65,star,81,238,252552487
66,star,76,241,252552488
67,star,57,252,252552508
68,star,46,260,252552528
69,star,44,262,252552548
70,star,46,264,252552567
71,star,52,263,252552589
