idx,label,x,y,timestamp
0,star,58,255,252527196
1,star,60,253,252527239
2,star,62,252,252527260
3,star,64,249,252527271
4,star,67,247,252527288
5,star,69,245,252527300
6,star,71,243,252527312
7,star,73,240,252527324
8,star,75,237,252527332
9,star,77,234,252527340
10,star,79,231,252527348
11,star,80,229,252527355
12,star,81,225,252527363
13,star,84,220,252527370
14,star,86,216,252527378
15,star,88,211,252527386
16,star,90,207,252527395
17,star,93,202,252527403
18,star,95,198,252527412
19,star,96,195,252527413
20,star,98,191,252527422
21,star,101,187,252527431
22,star,102,183,252527432
23,star,104,178,252527442
24,star,106,174,252527452
25,star,107,172,252527453
26,star,109,169,252527463
27,star,112,163,252527474
28,star,114,160,252527484
29,star,115,158,252527495
30,star,117,155,252527506
31,star,117,153,252527517
32,star,118,151,252527545
33,star,119,153,252527598
34,star,120,156,252527610
35,star,121,159,252527622
36,star,123,164,252527635
37,star,125,170,252527647
38,star,127,176,252527661
39,star,130,182,252527674
40,star,133,191,252527688
41,star,136,196,252527701
42,star,139,205,252527715
43,star,142,210,252527730
44,star,145,218,252527744
45,star,149,224,252527758
46,star,151,227,252527773
47,star,154,234,252527788
48,star,156,240,252527803
49,star,158,245,252527821
50,star,158,247,252527837
51,star,159,250,252527859
52,star,158,252,252527900
53,star,156,253,252527928
54,star,154,253,252527945
55,star,152,253,252527961
56,star,147,249,252527978
57,star,143,248,252527995
58,star,137,244,252528012
59,star,130,238,252528029
60,star,121,232,252528047
61,star,112,226,252528065
62,star,105,221,252528083
63,star,98,217,252528101
64,star,87,208,252528120
65,star,80,204,252528139
66,star,72,197,252528160
67,star,64,192,252528180
68,star,59,188,252528200
69,star,54,186,252528221
70,star,50,182,252528241
71,star,48,180,252528263
72,star,45,178,252528282
73,star,44,176,252528302
74,star,46,176,252528336
75,star,51,176,252528357
76,star,57,178,252528378
77,star,69,179,252528399
78,star,71,179,252528400
79,star,84,181,252528423
80,star,101,181,252528446
81,star,119,184,252528469
82,star,136,184,252528492
83,star,149,184,252528515
84,star,151,184,252528516
85,star,165,184,252528541
86,star,172,185,252528564
87,star,174,184,252528565
88,star,179,184,252528588
89,star,184,184,252528612
90,star,181,186,252528672
91,star,176,188,252528696
92,star,168,190,252528721
93,star,158,195,252528747
94,star,154,197,252528748
95,star,142,202,252528775
96,star,128,209,252528802
97,star,113,218,252528829
98,star,98,226,252528857
99,star,83,235,252528885
100,star,72,242,252528911
101,star,70,244,252528912
102,star,62,248,252528939
103,star,59,251,252528941
104,star,55,256,252528968
105,star,57,255,252529027
