idx,label,x,y,timestamp
0,star,52,251,119071112
1,star,53,249,119071145
2,star,55,246,119071161
3,star,57,245,119071181
4,star,59,242,119071190
5,star,60,240,119071202
6,star,62,238,119071209
7,star,63,236,119071221
8,star,64,234,119071229
9,star,66,230,119071237
10,star,68,228,119071249
11,star,69,225,119071257
12,star,70,223,119071265
13,star,72,220,119071278
14,star,73,218,119071286
15,star,74,216,119071294
16,star,75,214,119071302
17,star,76,212,119071315
18,star,77,210,119071327
19,star,79,208,119071340
20,star,80,206,119071352
21,star,81,203,119071364
22,star,82,201,119071374
23,star,84,199,119071385
24,star,86,197,119071396
25,star,87,194,119071407
26,star,88,192,119071418
27,star,89,190,119071429
28,star,91,187,119071441
29,star,93,185,119071457
30,star,95,183,119071473
31,star,96,181,119071485
32,star,97,179,119071498
33,star,98,176,119071511
34,star,100,174,119071526
35,star,101,171,119071538
36,star,102,169,119071551
37,star,103,167,119071565
38,star,105,165,119071582
39,star,106,162,119071595
40,star,107,160,119071614
41,star,108,157,119071628
42,star,109,155,119071643
43,star,111,153,119071658
44,star,112,151,119071677
45,star,114,149,119071705
46,star,115,147,119071734
47,star,117,145,119071770
48,star,119,143,119071815
49,star,120,146,119071938
50,star,120,148,119071954
51,star,119,152,119071971
52,star,119,154,119071987
53,star,119,160,119072005
54,star,118,165,119072022
55,star,118,167,119072023
56,star,118,169,119072041
57,star,118,172,119072043
58,star,118,176,119072061
59,star,119,179,119072079
60,star,119,184,119072098
61,star,120,189,119072117
62,star,120,193,119072136
63,star,120,198,119072158
64,star,120,200,119072159
65,star,120,205,119072179
66,star,120,210,119072199
67,star,120,214,119072219
68,star,120,220,119072239
69,star,121,222,119072259
70,star,122,228,119072280
71,star,123,231,119072301
72,star,124,235,119072321
73,star,124,238,119072323
74,star,125,241,119072345
75,star,126,246,119072367
76,star,126,250,119072389
77,star,126,252,119072411
78,star,126,256,119072433
79,star,126,258,119072466
80,star,124,257,119072560
81,star,123,255,119072582
82,star,120,253,119072605
83,star,116,249,119072629
84,star,114,247,119072652
85,star,111,245,119072653
86,star,107,240,119072678
87,star,103,236,119072703
88,star,99,232,119072727
89,star,97,230,119072751
90,star,95,228,119072753
91,star,92,224,119072781
92,star,90,222,119072806
93,star,85,220,119072832
94,star,83,219,119072833
95,star,80,215,119072860
96,star,75,212,119072887
97,star,68,207,119072913
98,star,64,203,119072940
99,star,60,199,119072967
100,star,55,196,119072993
101,star,51,193,119073020
102,star,47,190,119073048
103,star,45,190,119073075
104,star,44,187,119073105
105,star,46,187,119073200
106,star,49,186,119073228
107,star,56,187,119073256
108,star,63,188,119073285
109,star,70,188,119073315
110,star,79,187,119073345
111,star,89,186,119073374
112,star,98,185,119073409
113,star,107,185,119073444
114,star,115,184,119073475
115,star,124,183,119073506
116,star,132,183,119073537
117,star,136,182,119073567
118,star,144,182,119073598
119,star,151,181,119073629
120,star,157,180,119073660
121,star,161,180,119073691
122,star,163,179,119073693
123,star,168,179,119073728
124,star,170,178,119073759
125,star,171,180,119073817
126,star,169,181,119073849
127,star,163,184,119073882
128,star,157,187,119073915
129,star,150,192,119073950
130,star,145,196,119073983
131,star,139,200,119074017
132,star,132,204,119074053
133,star,125,208,119074087
134,star,120,213,119074125
135,star,115,215,119074160
136,star,109,220,119074194
137,star,105,222,119074230
138,star,101,225,119074265
139,star,97,228,119074300
140,star,90,232,119074337
141,star,85,237,119074373
142,star,81,241,119074408
143,star,78,242,119074444
144,star,77,244,119074479
145,star,75,246,119074515
146,star,73,247,119074551
