idx,label,x,y,timestamp
0,star,63,262,125103005
1,star,61,261,125103013
2,star,61,258,125103057
3,star,62,255,125103064
4,star,65,250,125103069
5,star,67,247,125103075
6,star,71,240,125103081
7,star,73,237,125103088
8,star,78,228,125103094
9,star,82,221,125103101
10,star,85,215,125103108
11,star,87,211,125103109
12,star,89,207,125103117
13,star,91,203,125103118
14,star,94,194,125103126
15,star,97,185,125103134
16,star,100,176,125103142
17,star,102,169,125103150
18,star,103,160,125103159
19,star,104,151,125103168
20,star,105,147,125103170
21,star,105,139,125103179
22,star,106,133,125103189
23,star,107,131,125103199
24,star,107,128,125103208
25,star,108,126,125103209
26,star,110,128,125103225
27,star,112,132,125103236
28,star,115,139,125103247
29,star,118,149,125103258
30,star,122,161,125103270
31,star,127,175,125103282
32,star,133,188,125103294
33,star,139,201,125103306
34,star,144,214,125103318
35,star,149,224,125103331
36,star,154,232,125103344
37,star,157,241,125103356
38,star,158,243,125103357
39,star,159,248,125103371
40,star,159,251,125103384
41,star,158,253,125103398
42,star,151,252,125103412
43,star,140,250,125103426
44,star,125,243,125103441
45,star,113,236,125103456
46,star,109,233,125103457
47,star,96,226,125103473
48,star,92,224,125103474
49,star,76,214,125103490
50,star,63,209,125103507
51,star,56,205,125103522
52,star,54,205,125103541
53,star,59,200,125103558
54,star,71,195,125103575
55,star,87,189,125103592
56,star,109,182,125103610
57,star,127,179,125103628
58,star,146,176,125103646
59,star,158,175,125103664
60,star,160,175,125103665
61,star,165,178,125103683
62,star,164,186,125103702
63,star,152,197,125103721
64,star,135,210,125103741
65,star,119,222,125103761
66,star,106,231,125103780
67,star,103,234,125103782
68,star,93,241,125103803
69,star,88,245,125103823
