idx,label,x,y,timestamp
0,triangle,139,147,268296493
1,triangle,138,144,268296505
2,triangle,137,142,268296521
3,triangle,135,144,268296557
4,triangle,134,146,268296566
5,triangle,133,150,268296574
6,triangle,132,153,268296582
7,triangle,131,156,268296590
8,triangle,130,159,268296597
9,triangle,129,164,268296603
10,triangle,127,170,268296610
11,triangle,126,172,268296617
12,triangle,126,175,268296619
13,triangle,124,180,268296626
14,triangle,122,185,268296634
15,triangle,120,190,268296642
16,triangle,118,196,268296650
17,triangle,116,200,268296659
18,triangle,114,205,268296667
19,triangle,111,209,268296677
20,triangle,110,212,268296685
21,triangle,108,215,268296686
22,triangle,106,219,268296698
23,triangle,105,221,268296708
24,triangle,103,223,268296726
25,triangle,105,223,268296767
26,triangle,108,222,268296779
27,triangle,111,222,268296790
28,triangle,113,221,268296800
29,triangle,121,219,268296811
30,triangle,125,220,268296822
31,triangle,127,219,268296824
32,triangle,134,219,268296835
33,triangle,138,219,268296847
34,triangle,146,219,268296859
35,triangle,149,219,268296871
36,triangle,154,218,268296884
37,triangle,157,218,268296896
38,triangle,158,215,268296944
39,triangle,156,213,268296957
40,triangle,156,211,268296970
41,triangle,152,205,268296984
42,triangle,148,198,268296997
43,triangle,145,190,268297011
44,triangle,144,188,268297012
45,triangle,142,180,268297027
46,triangle,141,170,268297042
47,triangle,140,164,268297057
48,triangle,140,158,268297071
49,triangle,139,156,268297086
