idx,label,x,y,timestamp
0,triangle,117,178,252850980
1,triangle,116,180,252851028
2,triangle,114,183,252851041
3,triangle,112,186,252851049
4,triangle,110,190,252851058
5,triangle,107,193,252851066
6,triangle,105,196,252851072
7,triangle,101,201,252851078
8,triangle,99,204,252851085
9,triangle,94,211,252851091
10,triangle,89,218,252851098
11,triangle,87,220,252851105
12,triangle,85,224,252851106
13,triangle,80,229,252851115
14,triangle,76,235,252851123
15,triangle,72,241,252851131
16,triangle,68,246,252851140
17,triangle,65,251,252851149
18,triangle,62,255,252851158
19,triangle,61,257,252851167
20,triangle,59,259,252851178
21,triangle,61,259,252851227
22,triangle,64,257,252851238
23,triangle,69,254,252851249
24,triangle,76,252,252851260
25,triangle,82,250,252851271
26,triangle,84,249,252851272
27,triangle,90,248,252851282
28,triangle,93,248,252851283
29,triangle,100,245,252851295
30,triangle,103,244,252851296
31,triangle,112,243,252851307
32,triangle,122,242,252851319
33,triangle,132,241,252851332
34,triangle,141,239,252851344
35,triangle,150,238,252851357
36,triangle,158,237,252851370
37,triangle,166,235,252851383
38,triangle,168,236,252851384
39,triangle,171,235,252851397
40,triangle,176,235,252851410
41,triangle,177,232,252851424
42,triangle,177,230,252851441
43,triangle,175,229,252851455
44,triangle,169,224,252851469
45,triangle,163,219,252851484
46,triangle,157,213,252851498
47,triangle,155,211,252851499
48,triangle,148,207,252851515
49,triangle,146,205,252851516
50,triangle,137,197,252851532
51,triangle,127,189,252851551
52,triangle,121,184,252851567
53,triangle,117,179,252851583
54,triangle,115,177,252851600
