idx,label,x,y,timestamp
0,triangle,123,126,87454932
1,triangle,122,129,87454993
2,triangle,120,132,87455002
3,triangle,119,136,87455009
4,triangle,117,138,87455014
5,triangle,116,140,87455020
6,triangle,115,142,87455021
7,triangle,113,145,87455028
8,triangle,110,151,87455034
9,triangle,108,154,87455041
10,triangle,107,158,87455042
11,triangle,105,161,87455048
12,triangle,103,164,87455049
13,triangle,98,172,87455057
14,triangle,94,179,87455065
15,triangle,90,187,87455073
16,triangle,87,193,87455082
17,triangle,83,200,87455090
18,triangle,80,205,87455099
19,triangle,78,211,87455108
20,triangle,78,213,87455117
21,triangle,76,217,87455118
22,triangle,75,220,87455127
23,triangle,74,222,87455136
24,triangle,74,224,87455146
25,triangle,74,226,87455166
26,triangle,76,226,87455194
27,triangle,80,226,87455206
28,triangle,83,225,87455217
29,triangle,89,223,87455228
30,triangle,97,221,87455239
31,triangle,105,219,87455251
32,triangle,113,220,87455262
33,triangle,121,219,87455274
34,triangle,130,218,87455287
35,triangle,138,219,87455299
36,triangle,145,220,87455312
37,triangle,153,219,87455324
38,triangle,160,220,87455337
39,triangle,167,220,87455351
40,triangle,170,219,87455363
41,triangle,175,218,87455377
42,triangle,177,217,87455391
43,triangle,179,218,87455405
44,triangle,182,218,87455419
45,triangle,183,216,87455443
46,triangle,181,215,87455483
47,triangle,179,213,87455498
48,triangle,177,211,87455512
49,triangle,172,207,87455528
50,triangle,167,201,87455543
51,triangle,161,193,87455559
52,triangle,152,182,87455575
53,triangle,145,172,87455594
54,triangle,138,164,87455610
55,triangle,134,159,87455627
56,triangle,133,155,87455643
57,triangle,132,153,87455659
58,triangle,129,148,87455676
59,triangle,128,146,87455700
