idx,label,x,y,timestamp
0,triangle,140,122,268318004
1,triangle,138,123,268318021
2,triangle,136,126,268318029
3,triangle,135,128,268318034
4,triangle,134,131,268318041
5,triangle,132,134,268318047
6,triangle,130,138,268318053
7,triangle,129,141,268318059
8,triangle,125,145,268318066
9,triangle,124,148,268318072
10,triangle,122,151,268318073
11,triangle,118,155,268318082
12,triangle,114,160,268318090
13,triangle,110,167,268318098
14,triangle,105,173,268318105
15,triangle,101,177,268318114
16,triangle,98,181,268318122
17,triangle,97,183,268318130
18,triangle,94,186,268318138
19,triangle,92,190,268318147
20,triangle,90,192,268318156
21,triangle,89,194,268318182
22,triangle,91,194,268318198
23,triangle,94,194,268318207
24,triangle,97,193,268318217
25,triangle,99,193,268318218
26,triangle,104,192,268318229
27,triangle,111,194,268318240
28,triangle,120,196,268318251
29,triangle,126,198,268318262
30,triangle,128,199,268318263
31,triangle,137,201,268318275
32,triangle,145,201,268318287
33,triangle,151,202,268318299
34,triangle,155,202,268318311
35,triangle,157,201,268318323
36,triangle,159,199,268318335
37,triangle,161,196,268318348
38,triangle,162,188,268318361
39,triangle,161,181,268318374
40,triangle,159,172,268318388
41,triangle,156,160,268318402
42,triangle,152,153,268318417
43,triangle,149,142,268318431
44,triangle,147,136,268318445
45,triangle,146,134,268318459
46,triangle,147,136,268318501
47,triangle,148,138,268318522
