idx,label,x,y,timestamp
0,triangle,136,152,121273286
1,triangle,134,153,121273308
2,triangle,132,155,121273320
3,triangle,131,158,121273328
4,triangle,128,161,121273336
5,triangle,127,163,121273342
6,triangle,125,166,121273348
7,triangle,124,168,121273349
8,triangle,122,171,121273355
9,triangle,118,175,121273362
10,triangle,113,180,121273369
11,triangle,107,185,121273376
12,triangle,104,188,121273383
13,triangle,101,191,121273384
14,triangle,94,196,121273392
15,triangle,88,202,121273400
16,triangle,83,207,121273409
17,triangle,78,210,121273417
18,triangle,73,213,121273427
19,triangle,70,216,121273435
20,triangle,68,217,121273447
21,triangle,66,220,121273456
22,triangle,67,222,121273473
23,triangle,69,224,121273488
24,triangle,71,223,121273505
25,triangle,73,222,121273515
26,triangle,76,220,121273525
27,triangle,79,221,121273536
28,triangle,86,221,121273547
29,triangle,93,220,121273558
30,triangle,101,219,121273570
31,triangle,111,217,121273582
32,triangle,121,217,121273594
33,triangle,132,215,121273606
34,triangle,144,213,121273618
35,triangle,155,213,121273631
36,triangle,165,212,121273644
37,triangle,174,211,121273657
38,triangle,176,211,121273658
39,triangle,181,209,121273671
40,triangle,183,209,121273684
41,triangle,184,206,121273701
42,triangle,184,204,121273715
43,triangle,182,202,121273733
44,triangle,182,200,121273747
45,triangle,181,198,121273766
46,triangle,179,195,121273790
47,triangle,178,193,121273805
48,triangle,175,190,121273820
49,triangle,172,185,121273835
50,triangle,167,179,121273850
51,triangle,157,169,121273867
52,triangle,148,164,121273883
53,triangle,140,160,121273899
54,triangle,134,156,121273916
55,triangle,132,154,121273932
56,triangle,128,150,121273949
57,triangle,126,150,121273966
58,triangle,124,148,121273991
