idx,label,x,y,timestamp
0,triangle,141,127,1288728
1,triangle,139,129,1288765
2,triangle,138,131,1288773
3,triangle,136,133,1288785
4,triangle,134,137,1288794
5,triangle,132,140,1288801
6,triangle,130,143,1288809
7,triangle,127,146,1288817
8,triangle,124,150,1288826
9,triangle,121,155,1288834
10,triangle,118,158,1288841
11,triangle,114,163,1288849
12,triangle,110,168,1288858
13,triangle,106,173,1288868
14,triangle,99,181,1288877
15,triangle,95,186,1288887
16,triangle,89,192,1288897
17,triangle,86,197,1288907
18,triangle,81,203,1288917
19,triangle,79,205,1288928
20,triangle,73,213,1288939
21,triangle,71,215,1288950
22,triangle,69,218,1288960
23,triangle,66,222,1288962
24,triangle,64,226,1288974
25,triangle,62,228,1288986
26,triangle,59,232,1288998
27,triangle,58,234,1289010
28,triangle,57,237,1289021
29,triangle,56,239,1289033
30,triangle,55,241,1289049
31,triangle,57,243,1289077
32,triangle,59,245,1289101
33,triangle,61,245,1289117
34,triangle,64,245,1289130
35,triangle,66,245,1289143
36,triangle,68,244,1289157
37,triangle,70,243,1289158
38,triangle,75,242,1289174
39,triangle,78,242,1289189
40,triangle,81,241,1289190
41,triangle,87,241,1289206
42,triangle,94,240,1289222
43,triangle,101,240,1289241
44,triangle,108,240,1289257
45,triangle,114,239,1289275
46,triangle,121,238,1289292
47,triangle,124,238,1289294
48,triangle,130,238,1289311
49,triangle,137,239,1289328
50,triangle,144,239,1289347
51,triangle,154,237,1289366
52,triangle,161,239,1289384
53,triangle,170,238,1289403
54,triangle,176,238,1289422
55,triangle,185,239,1289443
56,triangle,190,239,1289463
57,triangle,197,239,1289484
58,triangle,200,239,1289502
59,triangle,202,239,1289522
60,triangle,204,237,1289557
61,triangle,202,235,1289597
62,triangle,201,233,1289616
63,triangle,198,227,1289638
64,triangle,195,222,1289660
65,triangle,194,220,1289662
66,triangle,191,215,1289682
67,triangle,187,210,1289702
68,triangle,185,206,1289723
69,triangle,179,198,1289743
70,triangle,176,192,1289764
71,triangle,172,184,1289784
72,triangle,167,176,1289808
73,triangle,161,170,1289829
74,triangle,157,166,1289851
75,triangle,151,160,1289872
76,triangle,147,155,1289894
77,triangle,144,147,1289917
78,triangle,141,143,1289939
79,triangle,137,138,1289961
80,triangle,136,136,1289983
81,triangle,134,134,1290006
