idx,label,x,y,timestamp
0,triangle,109,175,252877505
1,triangle,111,172,252877517
2,triangle,114,170,252877529
3,triangle,116,170,252877541
4,triangle,115,173,252877566
5,triangle,112,176,252877574
6,triangle,108,180,252877582
7,triangle,106,182,252877589
8,triangle,100,187,252877595
9,triangle,97,189,252877602
10,triangle,94,191,252877603
11,triangle,86,197,252877612
12,triangle,78,202,252877619
13,triangle,70,207,252877627
14,triangle,62,213,252877635
15,triangle,55,218,252877643
16,triangle,49,222,252877651
17,triangle,45,225,252877659
18,triangle,42,228,252877668
19,triangle,44,229,252877698
20,triangle,50,229,252877707
21,triangle,57,228,252877717
22,triangle,72,226,252877726
23,triangle,83,225,252877736
24,triangle,101,221,252877746
25,triangle,113,220,252877757
26,triangle,130,219,252877767
27,triangle,140,217,252877778
28,triangle,145,217,252877779
29,triangle,155,217,252877792
30,triangle,160,216,252877805
31,triangle,161,214,252877816
32,triangle,160,211,252877828
33,triangle,152,203,252877840
34,triangle,142,198,252877852
35,triangle,130,192,252877865
36,triangle,119,187,252877878
37,triangle,108,183,252877891
38,triangle,105,182,252877892
39,triangle,94,177,252877912
40,triangle,90,175,252877926
41,triangle,88,173,252877939
42,triangle,88,171,252877952
43,triangle,90,170,252877966
44,triangle,93,169,252877967
45,triangle,96,170,252877984
