idx,label,x,y,timestamp
0,triangle,107,174,252849761
1,triangle,106,176,252849821
2,triangle,105,178,252849829
3,triangle,103,182,252849841
4,triangle,101,185,252849849
5,triangle,98,189,252849858
6,triangle,97,191,252849864
7,triangle,93,197,252849871
8,triangle,91,200,252849877
9,triangle,89,202,252849878
10,triangle,87,205,252849885
11,triangle,85,207,252849886
12,triangle,81,213,252849894
13,triangle,79,216,252849902
14,triangle,77,217,252849903
15,triangle,73,223,252849911
16,triangle,71,225,252849919
17,triangle,67,231,252849928
18,triangle,65,233,252849937
19,triangle,62,235,252849945
20,triangle,60,237,252849947
21,triangle,59,240,252849956
22,triangle,57,242,252849966
23,triangle,60,242,252850019
24,triangle,63,242,252850029
25,triangle,66,242,252850039
26,triangle,69,242,252850040
27,triangle,74,241,252850050
28,triangle,77,240,252850051
29,triangle,83,238,252850062
30,triangle,86,239,252850064
31,triangle,96,237,252850075
32,triangle,103,237,252850087
33,triangle,106,237,252850088
34,triangle,116,236,252850100
35,triangle,125,236,252850113
36,triangle,134,235,252850125
37,triangle,142,236,252850138
38,triangle,144,236,252850139
39,triangle,151,234,252850153
40,triangle,156,234,252850166
41,triangle,159,234,252850180
42,triangle,162,233,252850193
43,triangle,161,231,252850224
44,triangle,159,228,252850238
45,triangle,154,223,252850253
46,triangle,147,216,252850268
47,triangle,145,214,252850269
48,triangle,137,206,252850284
49,triangle,131,199,252850300
50,triangle,124,191,252850315
51,triangle,119,184,252850336
52,triangle,113,180,252850351
53,triangle,109,176,252850367
54,triangle,107,175,252850388
