idx,label,x,y,timestamp
0,triangle,104,140,117594404
1,triangle,103,142,117594508
2,triangle,102,144,117594528
3,triangle,100,147,117594561
4,triangle,100,149,117594582
5,triangle,99,151,117594598
6,triangle,98,154,117594630
7,triangle,98,156,117594646
8,triangle,97,158,117594658
9,triangle,96,160,117594674
10,triangle,95,162,117594686
11,triangle,95,164,117594694
12,triangle,94,166,117594706
13,triangle,93,168,117594717
14,triangle,92,170,117594730
15,triangle,91,172,117594747
16,triangle,91,174,117594755
17,triangle,89,177,117594771
18,triangle,88,179,117594783
19,triangle,87,181,117594795
20,triangle,86,183,117594807
21,triangle,85,186,117594819
22,triangle,84,188,117594830
23,triangle,83,191,117594843
24,triangle,82,193,117594855
25,triangle,82,195,117594865
26,triangle,81,197,117594879
27,triangle,80,199,117594889
28,triangle,80,201,117594907
29,triangle,80,204,117594918
30,triangle,79,206,117594930
31,triangle,79,208,117594942
32,triangle,78,210,117594955
33,triangle,78,213,117594967
34,triangle,77,215,117594983
35,triangle,77,217,117595000
36,triangle,76,219,117595017
37,triangle,75,221,117595029
38,triangle,75,223,117595049
39,triangle,74,226,117595065
40,triangle,73,228,117595085
41,triangle,72,230,117595098
42,triangle,71,233,117595117
43,triangle,70,235,117595137
44,triangle,70,237,117595150
45,triangle,68,239,117595169
46,triangle,68,241,117595183
47,triangle,67,244,117595197
48,triangle,66,246,117595217
49,triangle,64,248,117595245
50,triangle,63,250,117595269
51,triangle,63,252,117595345
52,triangle,65,253,117595389
53,triangle,67,253,117595409
54,triangle,69,252,117595426
55,triangle,71,251,117595442
56,triangle,73,251,117595458
57,triangle,77,250,117595474
58,triangle,80,251,117595491
59,triangle,82,251,117595508
60,triangle,86,249,117595525
61,triangle,89,250,117595543
62,triangle,93,249,117595561
63,triangle,99,249,117595579
64,triangle,103,249,117595597
65,triangle,107,248,117595616
66,triangle,110,248,117595635
67,triangle,115,247,117595655
68,triangle,119,246,117595674
69,triangle,121,247,117595694
70,triangle,125,246,117595713
71,triangle,127,246,117595732
72,triangle,130,246,117595734
73,triangle,132,245,117595754
74,triangle,134,246,117595774
75,triangle,139,246,117595794
76,triangle,141,246,117595815
77,triangle,144,246,117595836
78,triangle,148,247,117595857
79,triangle,152,247,117595878
80,triangle,156,248,117595900
81,triangle,158,248,117595922
82,triangle,160,248,117595944
83,triangle,162,248,117595966
84,triangle,164,248,117595988
85,triangle,166,248,117596011
86,triangle,171,249,117596034
87,triangle,173,249,117596057
88,triangle,175,249,117596081
89,triangle,177,250,117596121
90,triangle,176,248,117596210
91,triangle,175,246,117596234
92,triangle,174,243,117596258
93,triangle,172,241,117596282
94,triangle,170,238,117596283
95,triangle,169,236,117596307
96,triangle,166,232,117596332
97,triangle,163,227,117596357
98,triangle,161,222,117596382
99,triangle,159,219,117596383
100,triangle,155,214,117596408
101,triangle,151,207,117596437
102,triangle,148,202,117596463
103,triangle,145,198,117596489
104,triangle,141,192,117596521
105,triangle,138,187,117596552
106,triangle,135,182,117596579
107,triangle,133,177,117596607
108,triangle,131,173,117596635
109,triangle,129,168,117596662
110,triangle,128,166,117596663
111,triangle,127,163,117596690
112,triangle,126,161,117596718
113,triangle,123,156,117596746
114,triangle,122,154,117596774
115,triangle,119,150,117596803
116,triangle,118,147,117596831
117,triangle,116,147,117596860
118,triangle,115,145,117596889
