idx,label,x,y,timestamp
0,v,59,167,252809022
1,v,61,170,252809031
2,v,63,173,252809036
3,v,65,176,252809042
4,v,68,183,252809048
5,v,70,188,252809054
6,v,74,200,252809060
7,v,76,206,252809067
8,v,77,212,252809068
9,v,78,216,252809074
10,v,79,222,252809076
11,v,80,225,252809083
12,v,81,229,252809084
13,v,82,234,252809091
14,v,84,236,252809099
15,v,87,237,252809110
16,v,90,235,252809118
17,v,93,231,252809127
18,v,97,225,252809135
19,v,101,216,252809145
20,v,105,205,252809154
21,v,108,199,252809155
22,v,112,187,252809165
23,v,117,171,252809175
24,v,121,160,252809185
25,v,122,156,252809186
26,v,125,150,252809197
27,v,128,146,252809208
28,v,130,145,252809227
29,v,131,147,252809242
