idx,label,x,y,timestamp
0,v,96,177,10434171
1,v,98,178,10434203
2,v,100,179,10434219
3,v,102,181,10434231
4,v,104,183,10434239
5,v,105,185,10434247
6,v,106,188,10434255
7,v,108,190,10434263
8,v,110,194,10434271
9,v,112,197,10434279
10,v,113,200,10434286
11,v,114,202,10434287
12,v,117,207,10434295
13,v,119,212,10434304
14,v,121,218,10434312
15,v,123,222,10434321
16,v,123,224,10434330
17,v,125,227,10434339
18,v,126,230,10434340
19,v,127,233,10434350
20,v,129,236,10434360
21,v,130,238,10434371
22,v,131,240,10434396
23,v,133,239,10434517
24,v,135,237,10434537
25,v,136,235,10434548
26,v,137,233,10434558
27,v,139,228,10434570
28,v,142,222,10434582
29,v,145,215,10434594
30,v,147,211,10434606
31,v,152,203,10434618
32,v,156,198,10434630
33,v,160,193,10434643
34,v,164,189,10434656
35,v,169,181,10434669
36,v,171,178,10434682
37,v,176,173,10434696
38,v,180,168,10434710
39,v,182,165,10434723
40,v,186,161,10434741
41,v,188,159,10434755
42,v,190,157,10434770
43,v,192,156,10434785
